Nível,Código,Designação
6,030722,Quinchães
6,030723,Regadas
6,030724,Revelhe
6,030725,Ribeiros
6,030728,São Gens
6,030729,Silvares (São Martinho)
6,030733,Travassós
6,030737,"União de freguesias de Aboim, Felgueiras, Gontim e Pedraído"
6,030738,União de freguesias de Agrela e Serafão
6,030739,União de freguesias de Antime e Silvares (São Clemente)
6,030740,"União de freguesias de Ardegão, Arnozela e Seidões"
6,030741,União de freguesias de Cepães e Fareja
6,030742,União de freguesias de Freitas e Vila Cova
6,030743,União de freguesias de Monte e Queimadela
6,030744,União de freguesias de Moreira do Rei e Várzea Cova
6,030736,Vinhós
5,0308,Guimarães
6,030801,Aldão
6,030804,Azurém
6,030806,Barco
6,030807,Brito
6,030808,Caldelas
6,030857,Candoso (São Martinho)
6,030812,Costa
6,030813,Creixomil
6,030815,Fermentões
6,030820,Gonça
6,030821,Gondar
6,030823,Guardizela
6,030824,Infantas
6,030827,Longos
6,030828,Lordelo
6,030830,Mesão Frio
6,030831,Moreira de Cónegos
6,030832,Nespereira
6,030835,Pencelo
6,030836,Pinheiro
6,030837,Polvoreira
6,030838,Ponte
6,030842,Prazins (Santa Eufémia)
6,030840,Ronfe
6,030858,Sande (São Martinho)
6,030865,São Torcato
6,030850,Selho (São Cristóvão)
6,030854,Selho (São Jorge)
6,030866,Serzedelo
6,030868,Silvares
6,030875,União das freguesias de Abação e Gémeos
6,030876,"União das freguesias de Airão Santa Maria, Airão São João e Vermil"
6,030877,União das freguesias de Arosa e Castelões
6,030878,União das freguesias de Atães e Rendufe
6,030879,União das freguesias de Briteiros Santo Estêvão e Donim
6,030880,União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia
6,030881,União das freguesias de Candoso São Tiago e Mascotelos
6,030882,União das freguesias de Conde e Gandarela
6,030883,"União das freguesias de Leitões, Oleiros e Figueiredo"
6,030884,"União das freguesias de Oliveira, São Paio e São Sebastião"
6,030885,União das freguesias de Prazins Santo Tirso e Corvite
6,030886,União das freguesias de Sande São Lourenço e Balazar
6,030887,União das freguesias de Sande Vila Nova e Sande São Clemente
6,030888,União das freguesias de Selho São Lourenço e Gominhães
6,030889,União das freguesias de Serzedo e Calvos
6,030890,"União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar"
6,030891,União das freguesias de Tabuadelo e São Faustino
6,030871,Urgezes
5,1705,Mondim de Basto
6,170501,Atei
6,170502,Bilhó
6,170505,São Cristóvão de Mondim de Basto
6,170509,União das freguesias de Campanhó e Paradança
6,170510,União das freguesias de Ermelo e Pardelhas
6,170508,Vilar de Ferreiros
5,0309,Póvoa de Lanhoso
6,030906,Covelas
6,030908,Ferreiros
6,030912,Galegos
6,030913,Garfe
6,030914,Geraz do Minho
6,030915,Lanhoso
6,030917,Monsul
6,030919,Póvoa de Lanhoso (Nossa Senhora do Amparo)
6,030921,Rendufinho
6,030922,Santo Emilião
6,030923,São João de Rei
6,030924,Serzedelo
6,030925,Sobradelo da Goma
6,030926,Taíde
6,030927,Travassos
6,030930,União das freguesias de Águas Santas e Moure
6,030931,União das freguesias de Calvos e Frades
6,030932,União das freguesias de Campos e Louredo
6,030933,União das freguesias de Esperança e Brunhais
6,030934,União das freguesias de Fonte Arcada e Oliveira
6,030935,"União das freguesias de Verim, Friande e Ajude"
6,030929,Vilela
5,0311,Vieira do Minho
6,031105,Cantelães
6,031107,Eira Vedra
6,031108,Guilhofrei
6,031109,Louredo
6,031110,Mosteiro
6,031111,Parada de Bouro
6,031112,Pinheiro
6,031113,Rossas
6,031115,Salamonde
6,031118,Tabuaças
6,031122,União das freguesias de Anissó e Soutelo
6,031123,União das freguesias de Anjos e Vilar do Chão
6,031124,União das freguesias de Caniçada e Soengas
6,031125,União das freguesias de Ruivães e Campos
6,031126,União das freguesias de Ventosa e Cova
6,031120,Vieira do Minho
5,0312,Vila Nova de Famalicão
6,031204,Bairro
6,031206,Brufe
6,031210,Castelões
6,031212,Cruz
6,031213,Delães
6,031215,Fradelos
6,031216,Gavião
6,031219,Joane
6,031221,Landim
6,031223,Louro
6,031224,Lousado
6,031225,Mogege
6,031227,Nine
6,031239,Oliveira (Santa Maria)
6,031242,Oliveira (São Mateus)
6,031230,Pedome
6,031232,Pousada de Saramagos
6,031233,Requião
6,031234,Riba de Ave
6,031235,Ribeirão
6,031250,União das freguesias de Antas e Abade de Vermoim
6,031251,União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures
6,031252,União das freguesias de Avidos e Lagoa
6,031253,União das freguesias de Carreira e Bente
6,031254,União das freguesias de Esmeriz e Cabeçudos
6,031255,"União das freguesias de Gondifelos, Cavalões e Outiz"
6,031256,"União das freguesias de Lemenhe, Mouquim e Jesufrei"
6,031257,União das freguesias de Ruivães e Novais
6,031258,União das freguesias de Seide
6,031259,"União das freguesias de Vale (São Cosme), Telhado e Portela"
6,031260,União das freguesias de Vila Nova de Famalicão e Calendário
6,031241,Vale (São Martinho)
6,031247,Vermoim
6,031249,Vilarinho das Cambas
5,0314,Vizela
6,031404,Infias
6,031401,Santa Eulália
6,031408,União das freguesias de Caldas de Vizela (São Miguel e São João)
6,031409,União das freguesias de Tagilde e Vizela (São Paio)
6,031406,Vizela (Santo Adrião)
4,11A,Área Metropolitana do Porto
5,0104,Arouca
6,010402,Alvarenga
6,010407,Chave
6,010409,Escariz
6,010411,Fermedo
6,010413,Mansores
6,010414,Moldes
6,010415,Rossas
6,010416,Santa Eulália
6,010417,São Miguel do Mato
6,010418,Tropeço
6,010421,União das freguesias de Arouca e Burgo
6,010422,União das freguesias de Cabreiros e Albergaria da Serra
6,010423,União das freguesias de Canelas e Espiunca
6,010424,União das freguesias de Covelo de Paivó e Janarde
6,010419,Urrô
6,010420,Várzea
5,0107,Espinho
6,010702,Espinho
6,010704,Paramos
6,010705,Silvalde
6,010706,União das freguesias de Anta e Guetim
5,1304,Gondomar
6,130412,Baguim do Monte (Rio Tinto)
6,130405,Lomba
6,130408,Rio Tinto
6,130413,União das freguesias de Fânzeres e São Pedro da Cova
6,130414,União das freguesias de Foz do Sousa e Covelo
6,130415,"União das freguesias de Gondomar (São Cosme), Valbom e Jovim"
6,130416,União das freguesias de Melres e Medas
5,1306,Maia
6,130601,Águas Santas
6,130618,Castêlo da Maia
6,130619,Cidade da Maia
6,130603,Folgosa
6,130608,Milheirós
6,130609,Moreira
6,130620,Nogueira e Silva Escura
6,130617,Pedrouços
6,130613,São Pedro Fins
6,130616,Vila Nova da Telha
5,1308,Matosinhos
6,130811,"União das freguesias de Custóias, Leça do Balio e Guifões"
6,130812,União das freguesias de Matosinhos e Leça da Palmeira
6,130813,"União das freguesias de Perafita, Lavra e Santa Cruz do Bispo"
6,130814,União das freguesias de São Mamede de Infesta e Senhora da Hora
5,0113,Oliveira de Azeméis
6,011301,Carregosa
6,011302,Cesar
6,011303,Fajões
6,011304,Loureiro
6,011305,Macieira de Sarnes
6,011310,Ossela
6,011315,São Martinho da Gândara
6,011318,São Roque
6,011320,União das freguesias de Nogueira do Cravo e Pindelo
6,011321,"União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail"
6,011322,"União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz"
6,011319,Vila de Cucujães
5,1310,Paredes
6,131001,Aguiar de Sousa
6,131002,Astromil
6,131003,Baltar
6,131004,Beire
6,131008,Cete
6,131009,Cristelo
6,131010,Duas Igrejas
6,131011,Gandra
6,131013,Lordelo
6,131014,Louredo
6,131017,Parada de Todeia
6,131025,Paredes
6,131018,Rebordosa
6,131019,Recarei
6,131020,Sobreira
6,131021,Sobrosa
6,131022,Vandoma
6,131024,Vilela
5,1312,Porto
6,131202,Bonfim
6,131203,Campanhã
6,131210,Paranhos
6,131211,Ramalde
6,131216,"União das freguesias de Aldoar, Foz do Douro e Nevogilde"
6,131217,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória"
6,131218,União das freguesias de Lordelo do Ouro e Massarelos
5,1313,Póvoa de Varzim
6,131305,Balazar
6,131307,Estela
6,131308,Laundos
6,131311,Rates
6,131315,"União das freguesias da Póvoa de Varzim, Beiriz e Argivai"
6,131314,União das freguesias de Aguçadoura e Navais
6,131313,"União das freguesias de Aver-o-Mar, Amorim e Terroso"
5,0109,Santa Maria da Feira
6,010901,Argoncilhe
6,010902,Arrifana
6,010904,Escapães
6,010907,Fiães
6,010908,Fornos
6,010913,Lourosa
6,010914,Milheirós de Poiares
6,010916,Mozelos
6,010917,Nogueira da Regedoura
6,010919,Paços de Brandão
6,010921,Rio Meão
6,010922,Romariz
6,010924,Sanguedo
6,010925,Santa Maria de Lamas
6,010926,São João de Ver
6,010918,São Paio de Oleiros
6,010932,União das freguesias de Caldas de São Jorge e Pigeiros
6,010933,"União das freguesias de Canedo, Vale e Vila Maior"
6,010934,"União das freguesias de Lobão, Gião, Louredo e Guisande"
6,010935,"União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo"
6,010936,União de freguesias de São Miguel de Souto e Mosteirô
5,1314,Santo Tirso
6,131401,Agrela
6,131402,Água Longa
6,131405,Aves
6,131413,Monte Córdova
6,131430,Negrelos (São Tomé)
6,131416,Rebordões
6,131418,Reguenga
6,131419,Roriz
6,131433,"União das freguesias de Areias, Sequeiró, Lama e Palmeira"
6,131435,União das freguesias de Carreira e Refojos de Riba de Ave
6,131436,União das freguesias de Lamelas e Guimarei
6,131437,"União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães"
6,131434,Vila Nova do Campo
6,131432,Vilarinho
5,0116,São João da Madeira
6,011601,São João da Madeira
5,1318,Trofa
6,131806,Covelas
6,131808,Muro
6,131809,União das freguesias de Alvarelhos e Guidões
6,131810,União das freguesias de Bougado (São Martinho e Santiago)
6,131811,União das freguesias de Coronado (São Romão e São Mamede)
5,0119,Vale de Cambra
6,011901,Arões
6,011903,Cepelos
6,011905,Junqueira
6,011906,Macieira de Cambra
6,011907,Roge
6,011902,São Pedro de Castelões
6,011910,"União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho"
5,1315,Valongo
6,131501,Alfena
6,131503,Ermesinde
6,131506,União das freguesias de Campo e Sobrado
6,131505,Valongo
5,1316,Vila do Conde
6,131602,Árvore
6,131603,Aveleda
6,131604,Azurara
6,131607,Fajozes
6,131610,Gião
6,131611,Guilhabreu
6,131612,Junqueira
6,131613,Labruge
6,131614,Macieira da Maia
6,131616,Mindelo
6,131617,Modivas
6,131631,"União das freguesias de Bagunte, Ferreiró, Outeiro Maior e Parada"
6,131632,União das freguesias de Fornelo e Vairão
6,131633,União das freguesias de Malta e Canidelo
6,131634,União das freguesias de Retorta e Tougues
6,131635,União das freguesias de Rio Mau e Arcos
6,131636,União das freguesias de Touguinha e Touguinhó
6,131637,União das freguesias de Vilar e Mosteiró
6,131627,Vila Chã
6,131628,Vila do Conde
6,131630,Vilar de Pinheiro
5,1317,Vila Nova de Gaia
6,131701,Arcozelo
6,131702,Avintes
6,131703,Canelas
6,131704,Canidelo
6,131709,Madalena
6,131712,Oliveira do Douro
6,131717,São Félix da Marinha
6,131725,União das freguesias de Grijó e Sermonde
6,131726,União das freguesias de Gulpilhares e Valadares
6,131727,União das freguesias de Mafamude e Vilar do Paraíso
6,131728,União das freguesias de Pedroso e Seixezelo
6,131729,"União das freguesias de Sandim, Olival, Lever e Crestuma"
6,131730,União das freguesias de Santa Marinha e São Pedro da Afurada
6,131731,União das freguesias de Serzedo e Perosinho
6,131723,Vilar de Andorinho
4,11B,Alto Tâmega
5,1702,Boticas
6,170217,Alturas do Barroso e Cerdedo
6,170218,Ardãos e Bobadela
6,170203,Beça
6,170219,Boticas e Granja
6,170220,"Codessoso, Curros e Fiães do Tâmega"
6,170208,Covas do Barroso
6,170210,Dornelas
6,170213,Pinho
6,170215,Sapiãos
6,170221,Vilar e Viveiro
5,1703,Chaves
6,170301,Águas Frias
6,170302,Anelhe
6,170305,Bustelo
6,170309,Cimo de Vila da Castanheira
6,170310,Curalha
6,170312,Ervededo
6,170313,Faiões
6,170314,Lama de Arcos
6,170316,Mairos
6,170317,Moreiras
6,170318,Nogueira da Montanha
6,170320,Oura
6,170321,Outeiro Seco
6,170322,Paradela
6,170353,Planalto de Monforte (União das freguesias de Oucidres e Bobadela)
6,170324,Redondelo
6,170327,Sanfins
6,170329,Santa Leocádia
6,170350,Santa Maria Maior
6,170330,Santo António de Monforte
6,170331,Santo Estêvão
6,170333,São Pedro de Agostém
6,170334,São Vicente
6,170340,Tronco
6,170354,União das freguesias da Madalena e Samaiões
6,170355,"União das freguesias das Eiras, São Julião de Montenegro e Cela"
6,170356,União das freguesias de Calvão e Soutelinho da Raia
