,territoryName,null_votes,blank_votes,PPD/PSD.CDS-PP.PPM,PS,CH,B.E.,IL,ADN,L,PAN,PCP-PEV,VP,E,JPP,R.I.R.,ND,PCTP/MRPP,MPT.A,NC,PTP,PPD/PSD.CDS-PP,PPM
LOCAL-160307,Fiães,1,0,19.0,45.0,3.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,,0.0,0.0,,0.0,,,,
LOCAL-160308,Gave,0,0,46.0,35.0,16.0,1.0,3.0,4.0,1.0,2.0,1.0,0.0,1.0,,0.0,1.0,,0.0,,,,
LOCAL-160311,Paderne,4,18,135.0,180.0,100.0,13.0,14.0,7.0,5.0,8.0,7.0,0.0,1.0,,2.0,1.0,,3.0,,,,
LOCAL-160321,Parada do Monte e Cubalhão,1,1,141.0,56.0,23.0,3.0,4.0,12.0,4.0,2.0,2.0,1.0,2.0,,4.0,3.0,,1.0,,,,
LOCAL-160313,Penso,4,3,64.0,91.0,59.0,11.0,7.0,7.0,2.0,3.0,1.0,0.0,0.0,,0.0,0.0,,1.0,,,,
LOCAL-160322,Prado e Remoães,0,4,74.0,107.0,38.0,1.0,5.0,2.0,3.0,2.0,2.0,0.0,0.0,,2.0,1.0,,0.0,,,,
LOCAL-160317,São Paio,4,6,85.0,93.0,52.0,6.0,8.0,5.0,2.0,3.0,4.0,0.0,0.0,,1.0,3.0,,1.0,,,,
LOCAL-160323,Vila e Roussas,7,43,351.0,401.0,162.0,27.0,32.0,17.0,12.0,11.0,7.0,1.0,2.0,,2.0,3.0,,1.0,,,,
LOCAL-160401,Abedim,0,4,44.0,24.0,25.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,,0.0,5.0,,1.0,,,,
LOCAL-160434,Anhões e Luzio,3,1,67.0,29.0,26.0,1.0,1.0,5.0,0.0,0.0,3.0,1.0,0.0,,1.0,1.0,,0.0,,,,
LOCAL-160404,Barbeita,6,13,160.0,150.0,98.0,16.0,21.0,9.0,6.0,7.0,4.0,0.0,1.0,,3.0,2.0,,0.0,,,,
LOCAL-160405,Barroças e Taias,1,4,70.0,40.0,49.0,3.0,6.0,8.0,2.0,1.0,0.0,1.0,0.0,,2.0,4.0,,0.0,,,,
LOCAL-160406,Bela,3,7,153.0,97.0,86.0,5.0,8.0,5.0,7.0,7.0,1.0,0.0,0.0,,0.0,1.0,,1.0,,,,
LOCAL-160407,Cambeses,3,5,88.0,96.0,55.0,8.0,8.0,4.0,1.0,5.0,4.0,1.0,0.0,,0.0,0.0,,0.0,,,,
LOCAL-160435,Ceivães e Badim,2,7,103.0,127.0,54.0,5.0,9.0,6.0,5.0,1.0,4.0,0.0,0.0,,2.0,0.0,,0.0,,,,
LOCAL-160410,Lara,1,1,73.0,38.0,39.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,0.0,,0.0,2.0,,0.0,,,,
LOCAL-160411,Longos Vales,2,10,203.0,159.0,110.0,4.0,7.0,12.0,5.0,0.0,3.0,1.0,0.0,,1.0,8.0,,0.0,,,,
LOCAL-160436,Mazedo e Cortes,17,48,679.0,474.0,446.0,61.0,103.0,24.0,43.0,40.0,22.0,4.0,1.0,,2.0,8.0,,5.0,,,,
LOCAL-160415,Merufe,7,4,245.0,71.0,75.0,8.0,11.0,20.0,8.0,3.0,4.0,3.0,1.0,,4.0,4.0,,1.0,,,,
LOCAL-160437,"Messegães, Valadares e Sá",3,7,120.0,125.0,57.0,7.0,4.0,10.0,3.0,4.0,4.0,0.0,1.0,,1.0,4.0,,2.0,,,,
LOCAL-160438,Monção e Troviscoso,11,39,572.0,531.0,289.0,55.0,52.0,9.0,31.0,15.0,27.0,0.0,0.0,,6.0,7.0,,1.0,,,,
LOCAL-160418,Moreira,6,8,172.0,48.0,89.0,14.0,25.0,4.0,2.0,6.0,1.0,1.0,0.0,,3.0,1.0,,0.0,,,,
LOCAL-160420,Pias,1,23,204.0,91.0,104.0,12.0,18.0,16.0,4.0,6.0,4.0,1.0,0.0,,1.0,4.0,,2.0,,,,
LOCAL-160421,Pinheiros,1,3,96.0,28.0,60.0,1.0,7.0,1.0,2.0,4.0,3.0,0.0,0.0,,1.0,1.0,,1.0,,,,
LOCAL-160422,Podame,4,1,38.0,54.0,22.0,5.0,3.0,4.0,1.0,0.0,5.0,0.0,0.0,,0.0,0.0,,1.0,,,,
LOCAL-160423,Portela,1,1,38.0,34.0,17.0,3.0,9.0,4.0,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,,0.0,,,,
LOCAL-160424,Riba de Mouro,4,5,197.0,87.0,57.0,6.0,8.0,9.0,4.0,4.0,2.0,3.0,0.0,,1.0,8.0,,0.0,,,,
LOCAL-160439,"Sago, Lordelo e Parada",2,2,151.0,29.0,52.0,9.0,8.0,6.0,2.0,3.0,2.0,1.0,0.0,,0.0,1.0,,0.0,,,,
LOCAL-160427,Segude,2,1,88.0,52.0,33.0,6.0,1.0,5.0,1.0,3.0,1.0,0.0,0.0,,0.0,0.0,,0.0,,,,
LOCAL-160428,Tangil,2,11,156.0,109.0,39.0,13.0,6.0,5.0,5.0,2.0,3.0,0.0,0.0,,4.0,1.0,,1.0,,,,
LOCAL-160440,Troporiz e Lapela,7,9,84.0,99.0,69.0,15.0,5.0,3.0,6.0,4.0,2.0,0.0,0.0,,1.0,1.0,,1.0,,,,
LOCAL-160431,Trute,1,5,62.0,36.0,29.0,1.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,,2.0,1.0,,1.0,,,,
LOCAL-160501,Agualonga,4,4,55.0,77.0,28.0,1.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,2.0,,0.0,,,,
LOCAL-160522,Bico e Cristelo,3,10,102.0,133.0,64.0,17.0,11.0,9.0,5.0,3.0,5.0,2.0,0.0,,1.0,2.0,,1.0,,,,
LOCAL-160503,Castanheira,2,7,133.0,90.0,70.0,11.0,12.0,11.0,6.0,8.0,4.0,1.0,0.0,,4.0,0.0,,0.0,,,,
LOCAL-160523,Cossourado e Linhares,1,7,80.0,101.0,76.0,11.0,8.0,9.0,4.0,2.0,3.0,1.0,0.0,,2.0,1.0,,0.0,,,,
LOCAL-160505,Coura,1,4,62.0,61.0,37.0,3.0,2.0,2.0,4.0,2.0,4.0,1.0,1.0,,0.0,0.0,,0.0,,,,
LOCAL-160507,Cunha,2,13,87.0,101.0,47.0,5.0,8.0,3.0,7.0,2.0,2.0,1.0,1.0,,3.0,3.0,,0.0,,,,
LOCAL-160524,Formariz e Ferreira,7,10,166.0,201.0,86.0,19.0,21.0,10.0,4.0,7.0,16.0,1.0,0.0,,3.0,5.0,,1.0,,,,
LOCAL-160510,Infesta,4,1,70.0,62.0,57.0,9.0,2.0,2.0,9.0,3.0,9.0,2.0,0.0,,2.0,4.0,,0.0,,,,
LOCAL-160525,Insalde e Porreiras,0,6,69.0,69.0,44.0,8.0,3.0,5.0,2.0,3.0,2.0,1.0,1.0,,2.0,4.0,,1.0,,,,
LOCAL-160513,Mozelos,3,6,47.0,107.0,28.0,4.0,4.0,6.0,1.0,1.0,5.0,0.0,0.0,,2.0,0.0,,1.0,,,,
LOCAL-160514,Padornelo,3,5,64.0,88.0,39.0,10.0,4.0,5.0,4.0,2.0,0.0,2.0,0.0,,1.0,1.0,,0.0,,,,
LOCAL-160515,Parada,3,6,58.0,49.0,21.0,6.0,2.0,1.0,0.0,6.0,2.0,0.0,0.0,,0.0,2.0,,0.0,,,,
LOCAL-160526,Paredes de Coura e Resende,17,29,265.0,409.0,208.0,53.0,44.0,13.0,40.0,29.0,29.0,1.0,1.0,,4.0,5.0,,1.0,,,,
LOCAL-160519,Romarigães,0,2,45.0,42.0,21.0,1.0,2.0,3.0,1.0,1.0,4.0,0.0,0.0,,0.0,0.0,,0.0,,,,
LOCAL-160520,Rubiães,2,6,79.0,94.0,53.0,10.0,7.0,9.0,0.0,5.0,4.0,0.0,0.0,,3.0,2.0,,1.0,,,,
LOCAL-160521,Vascões,1,2,48.0,22.0,32.0,1.0,0.0,2.0,2.0,2.0,7.0,0.0,0.0,,1.0,0.0,,0.0,,,,
LOCAL-160601,Azias,2,1,92.0,37.0,32.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,,2.0,2.0,,0.0,,,,
LOCAL-160602,Boivães,3,1,84.0,53.0,26.0,2.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,
LOCAL-160603,Bravães,6,12,153.0,99.0,55.0,14.0,11.0,7.0,4.0,4.0,10.0,0.0,0.0,,1.0,0.0,,0.0,,,,
LOCAL-160604,Britelo,1,4,81.0,100.0,51.0,2.0,3.0,5.0,5.0,1.0,4.0,0.0,0.0,,2.0,0.0,,0.0,,,,
LOCAL-160626,"Crasto, Ruivos e Grovelas",6,9,216.0,161.0,58.0,4.0,18.0,6.0,3.0,10.0,4.0,1.0,0.0,,0.0,2.0,,1.0,,,,
LOCAL-160606,Cuide de Vila Verde,3,4,89.0,38.0,24.0,4.0,4.0,6.0,8.0,1.0,3.0,1.0,0.0,,1.0,2.0,,0.0,,,,
LOCAL-160627,"Entre Ambos-os-Rios, Ermida e Germil",1,7,128.0,86.0,47.0,1.0,3.0,9.0,4.0,3.0,10.0,2.0,1.0,,0.0,2.0,,0.0,,,,
LOCAL-160611,Lavradas,8,11,242.0,143.0,83.0,7.0,16.0,4.0,9.0,14.0,3.0,0.0,0.0,,3.0,3.0,,0.0,,,,
LOCAL-160612,Lindoso,3,2,60.0,54.0,55.0,3.0,2.0,1.0,1.0,5.0,2.0,0.0,0.0,,2.0,1.0,,0.0,,,,
LOCAL-160613,Nogueira,2,4,91.0,78.0,56.0,5.0,9.0,2.0,2.0,3.0,1.0,0.0,0.0,,0.0,3.0,,0.0,,,,
LOCAL-160614,Oleiros,4,2,157.0,78.0,45.0,5.0,7.0,4.0,11.0,2.0,2.0,1.0,0.0,,3.0,2.0,,0.0,,,,
LOCAL-160628,"Ponte da Barca, V.N. Muía, Paço Vedro Magalhães",42,48,800.0,975.0,361.0,64.0,62.0,25.0,69.0,33.0,40.0,3.0,3.0,,7.0,6.0,,3.0,,,,
LOCAL-160619,Sampriz,2,3,94.0,38.0,31.0,6.0,2.0,4.0,1.0,1.0,2.0,0.0,0.0,,1.0,3.0,,0.0,,,,
LOCAL-160629,Touvedo (São Lourenço e Salvador),0,4,118.0,67.0,33.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,,0.0,4.0,,2.0,,,,
LOCAL-160623,Vade (São Pedro),1,3,79.0,51.0,32.0,6.0,6.0,6.0,4.0,2.0,0.0,0.0,0.0,,0.0,0.0,,1.0,,,,
LOCAL-160624,Vade (São Tomé),1,1,82.0,61.0,27.0,5.0,6.0,1.0,1.0,6.0,2.0,0.0,0.0,,0.0,1.0,,0.0,,,,
LOCAL-160630,Vila Chã (São João Baptista e Santiago),1,6,141.0,88.0,55.0,9.0,4.0,3.0,2.0,3.0,1.0,1.0,0.0,,1.0,4.0,,1.0,,,,
LOCAL-160701,Anais,3,7,346.0,111.0,181.0,5.0,26.0,24.0,5.0,5.0,4.0,1.0,0.0,,3.0,7.0,,1.0,,,,
LOCAL-160752,Arca e Ponte de Lima,25,44,854.0,736.0,452.0,98.0,110.0,20.0,70.0,35.0,94.0,2.0,1.0,,11.0,5.0,,1.0,,,,
LOCAL-160704,Arcozelo,24,39,711.0,602.0,476.0,57.0,84.0,23.0,45.0,25.0,79.0,7.0,0.0,,9.0,7.0,,2.0,,,,
LOCAL-160753,"Ardegão, Freixo e Mato",13,27,437.0,243.0,208.0,25.0,30.0,19.0,13.0,15.0,10.0,2.0,3.0,,7.0,8.0,,0.0,,,,
LOCAL-160754,Associação de freguesias do Vale do Neiva,5,9,342.0,92.0,123.0,16.0,24.0,17.0,7.0,6.0,2.0,1.0,1.0,,2.0,7.0,,1.0,,,,
LOCAL-160755,Bárrio e Cepões,15,10,205.0,104.0,130.0,11.0,14.0,10.0,7.0,9.0,5.0,4.0,0.0,,0.0,5.0,,0.0,,,,
LOCAL-160707,Beiral do Lima,12,1,195.0,51.0,84.0,4.0,10.0,13.0,3.0,2.0,4.0,2.0,3.0,,2.0,8.0,,0.0,,,,
LOCAL-160708,Bertiandos,3,8,134.0,70.0,45.0,7.0,14.0,2.0,0.0,2.0,4.0,1.0,0.0,,1.0,0.0,,1.0,,,,
LOCAL-160709,Boalhosa,2,0,74.0,2.0,6.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,,0.0,,,,
LOCAL-160710,Brandara,1,5,122.0,65.0,64.0,5.0,11.0,4.0,1.0,1.0,5.0,0.0,0.0,,1.0,1.0,,1.0,,,,
LOCAL-160756,Cabaços e Fojo Lobal,4,7,303.0,77.0,130.0,7.0,12.0,14.0,4.0,2.0,5.0,1.0,0.0,,4.0,6.0,,0.0,,,,
LOCAL-160757,Cabração e Moreira do Lima,7,7,232.0,133.0,109.0,13.0,15.0,12.0,8.0,10.0,6.0,1.0,0.0,,4.0,3.0,,4.0,,,,
LOCAL-160713,Calheiros,3,5,269.0,124.0,130.0,16.0,28.0,8.0,8.0,8.0,12.0,1.0,1.0,,5.0,3.0,,2.0,,,,
LOCAL-160714,Calvelo,4,10,168.0,90.0,87.0,3.0,24.0,10.0,9.0,1.0,4.0,1.0,0.0,,2.0,4.0,,1.0,,,,
LOCAL-160716,Correlhã,31,27,925.0,342.0,302.0,36.0,42.0,51.0,21.0,17.0,17.0,4.0,1.0,,9.0,5.0,,3.0,,,,
LOCAL-160717,Estorãos,2,4,101.0,64.0,38.0,9.0,16.0,3.0,5.0,5.0,9.0,0.0,1.0,,1.0,1.0,,0.0,,,,
LOCAL-160718,Facha,10,9,408.0,210.0,162.0,16.0,33.0,25.0,18.0,11.0,25.0,1.0,0.0,,2.0,8.0,,1.0,,,,
LOCAL-160719,Feitosa,9,33,441.0,272.0,231.0,64.0,84.0,12.0,31.0,17.0,20.0,4.0,1.0,,5.0,5.0,,2.0,,,,
LOCAL-160721,Fontão,10,12,345.0,144.0,127.0,16.0,37.0,21.0,14.0,6.0,5.0,0.0,1.0,,3.0,8.0,,2.0,,,,
LOCAL-160758,Fornelos e Queijada,4,15,609.0,188.0,206.0,25.0,33.0,23.0,21.0,12.0,14.0,0.0,0.0,,7.0,6.0,,5.0,,,,
LOCAL-160724,Friastelas,4,4,157.0,55.0,70.0,6.0,7.0,9.0,5.0,1.0,5.0,0.0,0.0,,2.0,2.0,,1.0,,,,
LOCAL-160726,Gandra,4,9,316.0,144.0,125.0,16.0,13.0,14.0,10.0,7.0,5.0,1.0,1.0,,3.0,3.0,,0.0,,,,
LOCAL-160727,Gemieira,6,17,144.0,71.0,85.0,10.0,11.0,9.0,6.0,2.0,3.0,0.0,2.0,,3.0,1.0,,0.0,,,,
LOCAL-160728,Gondufe,6,5,124.0,39.0,47.0,3.0,7.0,13.0,2.0,2.0,3.0,1.0,0.0,,0.0,2.0,,1.0,,,,
LOCAL-160729,Labruja,6,2,130.0,44.0,61.0,2.0,5.0,5.0,2.0,2.0,0.0,1.0,0.0,,1.0,4.0,,0.0,,,,
LOCAL-160759,"Labrujó, Rendufe e Vilar do Monte",1,1,111.0,51.0,36.0,5.0,2.0,7.0,3.0,4.0,0.0,1.0,0.0,,2.0,4.0,,2.0,,,,
LOCAL-160760,Navió e Vitorino dos Piães,19,11,461.0,170.0,257.0,15.0,50.0,26.0,9.0,12.0,13.0,3.0,0.0,,5.0,11.0,,2.0,,,,
LOCAL-160734,Poiares,4,7,276.0,82.0,112.0,12.0,10.0,12.0,6.0,0.0,3.0,0.0,2.0,,1.0,3.0,,1.0,,,,
LOCAL-160744,Rebordões (Santa Maria),7,12,266.0,106.0,152.0,30.0,23.0,17.0,14.0,3.0,13.0,1.0,0.0,,1.0,4.0,,2.0,,,,
LOCAL-160747,Rebordões (Souto),10,9,383.0,82.0,143.0,18.0,14.0,11.0,5.0,2.0,5.0,1.0,2.0,,3.0,2.0,,1.0,,,,
LOCAL-160737,Refóios do Lima,11,15,576.0,216.0,220.0,28.0,39.0,27.0,19.0,10.0,6.0,7.0,3.0,,1.0,10.0,,0.0,,,,
LOCAL-160739,Ribeira,14,16,369.0,445.0,187.0,36.0,54.0,12.0,20.0,19.0,31.0,3.0,0.0,,6.0,6.0,,3.0,,,,
LOCAL-160740,Sá,1,8,112.0,48.0,38.0,7.0,10.0,4.0,0.0,0.0,0.0,2.0,1.0,,1.0,2.0,,0.0,,,,
LOCAL-160742,Santa Comba,6,5,140.0,114.0,80.0,15.0,24.0,4.0,12.0,3.0,7.0,1.0,0.0,,2.0,3.0,,0.0,,,,
LOCAL-160743,Santa Cruz do Lima,0,3,137.0,74.0,29.0,7.0,7.0,9.0,3.0,2.0,5.0,1.0,0.0,,1.0,1.0,,0.0,,,,
LOCAL-160703,São Pedro d'Arcos,7,6,139.0,113.0,54.0,8.0,17.0,7.0,11.0,7.0,3.0,0.0,0.0,,1.0,1.0,,0.0,,,,
LOCAL-160745,Seara,8,8,230.0,90.0,97.0,9.0,25.0,9.0,6.0,3.0,1.0,1.0,1.0,,2.0,2.0,,1.0,,,,
LOCAL-160746,Serdedelo,3,4,144.0,44.0,53.0,2.0,9.0,4.0,0.0,3.0,3.0,0.0,1.0,,4.0,1.0,,0.0,,,,
LOCAL-160750,Vitorino das Donas,6,11,289.0,162.0,110.0,28.0,39.0,11.0,8.0,9.0,13.0,0.0,0.0,,6.0,3.0,,0.0,,,,
LOCAL-160802,Boivão,1,3,58.0,17.0,36.0,3.0,4.0,5.0,0.0,1.0,1.0,1.0,0.0,,0.0,2.0,,0.0,,,,
LOCAL-160803,Cerdal,6,17,246.0,186.0,315.0,13.0,21.0,16.0,10.0,3.0,12.0,0.0,0.0,,4.0,4.0,,2.0,,,,
LOCAL-160805,Fontoura,2,5,144.0,59.0,166.0,9.0,8.0,10.0,2.0,4.0,0.0,0.0,0.0,,2.0,3.0,,0.0,,,,
LOCAL-160806,Friestas,4,11,91.0,120.0,71.0,9.0,11.0,3.0,6.0,8.0,10.0,0.0,0.0,,0.0,2.0,,0.0,,,,
LOCAL-160817,Gandra e Taião,1,16,210.0,211.0,256.0,14.0,13.0,7.0,9.0,12.0,4.0,3.0,0.0,,4.0,3.0,,2.0,,,,
LOCAL-160808,Ganfei,10,7,208.0,243.0,184.0,16.0,14.0,9.0,13.0,2.0,3.0,0.0,0.0,,3.0,1.0,,1.0,,,,
LOCAL-160818,Gondomil e Sanfins,0,4,112.0,60.0,47.0,1.0,4.0,2.0,1.0,3.0,1.0,0.0,0.0,,2.0,0.0,,0.0,,,,
LOCAL-160819,São Julião e Silva,5,4,129.0,74.0,123.0,10.0,8.0,7.0,2.0,1.0,5.0,1.0,1.0,,0.0,1.0,,0.0,,,,
LOCAL-160812,São Pedro da Torre,8,10,276.0,187.0,197.0,22.0,23.0,14.0,9.0,8.0,6.0,0.0,0.0,,3.0,4.0,,0.0,,,,
LOCAL-160820,"Valença, Cristelo Covo e Arão",29,44,695.0,662.0,753.0,72.0,85.0,36.0,37.0,60.0,32.0,3.0,0.0,,2.0,6.0,,2.0,,,,
LOCAL-160816,Verdoejo,4,5,79.0,165.0,67.0,6.0,12.0,4.0,9.0,5.0,12.0,1.0,0.0,,3.0,3.0,,0.0,,,,
LOCAL-160901,Afife,5,23,289.0,317.0,139.0,44.0,31.0,16.0,28.0,18.0,66.0,1.0,0.0,,6.0,4.0,,1.0,,,,
LOCAL-160902,Alvarães,17,26,543.0,384.0,310.0,44.0,46.0,22.0,29.0,26.0,14.0,1.0,2.0,,11.0,18.0,,1.0,,,,
LOCAL-160903,Amonde,3,3,31.0,45.0,63.0,8.0,1.0,3.0,0.0,1.0,7.0,0.0,0.0,,2.0,1.0,,0.0,,,,
LOCAL-160904,Anha,23,42,480.0,454.0,264.0,65.0,67.0,24.0,25.0,24.0,21.0,7.0,4.0,,9.0,6.0,,2.0,,,,
LOCAL-160905,Areosa,31,59,749.0,917.0,445.0,165.0,131.0,35.0,80.0,53.0,150.0,6.0,2.0,,4.0,7.0,,7.0,,,,
LOCAL-160941,Barroselas e Carvoeiro,41,60,1033.0,825.0,598.0,103.0,152.0,65.0,70.0,52.0,46.0,5.0,3.0,,11.0,7.0,,4.0,,,,
LOCAL-160942,Cardielos e Serreleis,8,22,553.0,461.0,265.0,62.0,42.0,21.0,25.0,24.0,24.0,5.0,1.0,,14.0,4.0,,0.0,,,,
LOCAL-160908,Carreço,5,21,364.0,336.0,164.0,69.0,46.0,13.0,54.0,20.0,45.0,1.0,1.0,,4.0,2.0,,0.0,,,,
LOCAL-160910,Castelo do Neiva,15,31,525.0,309.0,409.0,55.0,79.0,36.0,31.0,20.0,21.0,8.0,3.0,,9.0,10.0,,3.0,,,,
LOCAL-160940,Chafé,21,47,512.0,471.0,504.0,103.0,99.0,23.0,40.0,46.0,44.0,3.0,5.0,,14.0,10.0,,6.0,,,,
LOCAL-160911,Darque,47,62,997.0,1355.0,983.0,222.0,164.0,30.0,85.0,71.0,252.0,4.0,2.0,,23.0,16.0,,2.0,,,,
LOCAL-160914,Freixieiro de Soutelo,2,6,76.0,78.0,91.0,19.0,12.0,3.0,0.0,4.0,4.0,0.0,0.0,,2.0,1.0,,0.0,,,,
LOCAL-160943,Geraz do Lima e Deão,35,39,832.0,528.0,420.0,31.0,82.0,35.0,25.0,20.0,17.0,2.0,4.0,,14.0,22.0,,4.0,,,,
LOCAL-160915,Lanheses,12,19,396.0,273.0,145.0,26.0,30.0,15.0,12.0,16.0,7.0,2.0,6.0,,5.0,6.0,,2.0,,,,
LOCAL-160944,Mazarefes e Vila Fria,19,26,466.0,558.0,294.0,82.0,69.0,23.0,38.0,22.0,54.0,5.0,3.0,,9.0,6.0,,1.0,,,,
LOCAL-160920,Montaria,4,3,95.0,102.0,76.0,6.0,5.0,3.0,3.0,3.0,7.0,1.0,0.0,,2.0,3.0,,2.0,,,,
LOCAL-160922,Mujães,8,22,320.0,219.0,160.0,22.0,51.0,22.0,11.0,8.0,15.0,1.0,1.0,,6.0,4.0,,1.0,,,,
LOCAL-160945,"Nogueira, Meixedo e Vilar de Murteda",12,18,372.0,252.0,175.0,21.0,35.0,16.0,19.0,16.0,14.0,2.0,0.0,,4.0,3.0,,3.0,,,,
LOCAL-160925,Outeiro,13,32,227.0,198.0,114.0,22.0,37.0,9.0,14.0,10.0,21.0,0.0,1.0,,5.0,3.0,,2.0,,,,
LOCAL-160926,Perre,23,43,526.0,609.0,283.0,90.0,96.0,20.0,58.0,24.0,85.0,2.0,4.0,,9.0,6.0,,4.0,,,,
LOCAL-160948,Santa Maria Maior e Monserrate e Meadela,153,242,4278.0,4894.0,2176.0,946.0,728.0,171.0,567.0,301.0,763.0,19.0,8.0,,33.0,38.0,,19.0,,,,
LOCAL-160928,Santa Marta de Portuzelo,31,54,798.0,817.0,392.0,105.0,106.0,33.0,71.0,40.0,61.0,1.0,4.0,,11.0,11.0,,3.0,,,,
LOCAL-160923,São Romão de Neiva,4,19,242.0,222.0,139.0,27.0,32.0,7.0,16.0,17.0,5.0,0.0,1.0,,10.0,1.0,,1.0,,,,
LOCAL-160946,"Subportela, Deocriste e Portela Susã",13,38,553.0,370.0,316.0,44.0,67.0,36.0,22.0,25.0,10.0,2.0,6.0,,12.0,15.0,,2.0,,,,
LOCAL-160947,Torre e Vila Mou,9,17,313.0,175.0,125.0,20.0,35.0,18.0,19.0,12.0,8.0,5.0,1.0,,3.0,5.0,,2.0,,,,
LOCAL-160938,Vila de Punhe,20,26,447.0,422.0,236.0,41.0,44.0,25.0,28.0,14.0,20.0,2.0,3.0,,5.0,6.0,,1.0,,,,
LOCAL-160935,Vila Franca,17,27,380.0,331.0,186.0,47.0,42.0,26.0,19.0,16.0,29.0,2.0,0.0,,9.0,4.0,,2.0,,,,
LOCAL-161016,Campos e Vila Meã,9,13,206.0,268.0,273.0,34.0,31.0,20.0,15.0,7.0,12.0,1.0,0.0,,4.0,6.0,,4.0,,,,
LOCAL-161017,Candemil e Gondar,1,7,63.0,63.0,53.0,11.0,10.0,8.0,1.0,1.0,3.0,0.0,2.0,,2.0,1.0,,2.0,,,,
LOCAL-161003,Cornes,3,5,70.0,94.0,101.0,22.0,4.0,4.0,3.0,3.0,4.0,1.0,0.0,,1.0,1.0,,0.0,,,,
LOCAL-161004,Covas,2,4,105.0,105.0,90.0,8.0,8.0,10.0,6.0,6.0,5.0,0.0,1.0,,0.0,4.0,,1.0,,,,
LOCAL-161006,Gondarém,6,5,158.0,215.0,138.0,14.0,18.0,13.0,14.0,8.0,10.0,4.0,0.0,,2.0,1.0,,1.0,,,,
LOCAL-161007,Loivo,7,8,117.0,172.0,132.0,23.0,14.0,5.0,5.0,10.0,6.0,0.0,0.0,,5.0,4.0,,0.0,,,,
LOCAL-161009,Mentrestido,0,4,58.0,45.0,37.0,2.0,4.0,1.0,6.0,1.0,0.0,1.0,0.0,,1.0,2.0,,0.0,,,,
LOCAL-161018,Reboreda e Nogueira,9,16,181.0,184.0,199.0,27.0,20.0,11.0,14.0,13.0,11.0,1.0,0.0,,6.0,3.0,,0.0,,,,
LOCAL-161012,Sapardos,1,7,79.0,63.0,76.0,4.0,4.0,7.0,2.0,4.0,1.0,0.0,0.0,,3.0,1.0,,1.0,,,,
LOCAL-161013,Sopo,4,12,104.0,101.0,62.0,7.0,5.0,2.0,2.0,4.0,1.0,1.0,0.0,,2.0,3.0,,1.0,,,,
LOCAL-161019,Vila Nova de Cerveira e Lovelhe,13,25,315.0,350.0,203.0,45.0,39.0,16.0,27.0,16.0,10.0,2.0,0.0,,5.0,3.0,,2.0,,,,
LOCAL-170101,Alijó,16,14,540.0,457.0,281.0,40.0,36.0,34.0,18.0,21.0,15.0,2.0,0.0,,4.0,2.0,,,,,,
LOCAL-170120,Carlão e Amieiro,9,4,126.0,140.0,42.0,13.0,5.0,16.0,4.0,5.0,6.0,0.0,0.0,,0.0,1.0,,,,,,
LOCAL-170121,Castedo e Cotas,8,4,144.0,91.0,69.0,16.0,5.0,4.0,0.0,0.0,1.0,1.0,0.0,,1.0,2.0,,,,,,
LOCAL-170107,Favaios,8,9,166.0,240.0,91.0,22.0,14.0,12.0,5.0,5.0,5.0,0.0,0.0,,4.0,1.0,,,,,,
LOCAL-170108,Pegarinhos,3,3,89.0,75.0,26.0,6.0,0.0,3.0,1.0,0.0,10.0,1.0,1.0,,0.0,0.0,,,,,,
LOCAL-170109,Pinhão,4,12,101.0,121.0,64.0,10.0,9.0,8.0,9.0,3.0,12.0,0.0,0.0,,0.0,0.0,,,,,,
LOCAL-170122,Pópulo e Ribalonga,6,2,106.0,70.0,49.0,5.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,,2.0,1.0,,,,,,
LOCAL-170112,Sanfins do Douro,8,7,299.0,269.0,156.0,16.0,11.0,20.0,4.0,6.0,5.0,1.0,1.0,,2.0,0.0,,,,,,
LOCAL-170113,Santa Eugénia,5,3,79.0,91.0,23.0,4.0,3.0,7.0,2.0,0.0,0.0,1.0,1.0,,0.0,0.0,,,,,,
LOCAL-170114,São Mamede de Ribatua,6,7,117.0,145.0,43.0,5.0,7.0,10.0,4.0,10.0,9.0,0.0,1.0,,2.0,1.0,,,,,,
LOCAL-170123,"Vale de Mendiz, Casal de Loivos e Vilarinho",4,4,85.0,117.0,70.0,6.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,,3.0,1.0,,,,,,
LOCAL-170116,Vila Chã,8,3,94.0,75.0,67.0,7.0,4.0,5.0,2.0,1.0,0.0,0.0,0.0,,4.0,2.0,,,,,,
LOCAL-170118,Vilar de Maçada,8,1,192.0,139.0,99.0,7.0,5.0,13.0,8.0,5.0,3.0,1.0,1.0,,1.0,0.0,,,,,,
