,territoryName,null_votes,blank_votes,PPD/PSD.CDS-PP.PPM,PS,CH,B.E.,IL,ADN,L,PAN,PCP-PEV,VP,E,JPP,R.I.R.,ND,PCTP/MRPP,MPT.A,NC,PTP,PPD/PSD.CDS-PP,PPM
LOCAL-081602,Vila Real de Santo António,72,97,1038.0,1909.0,1596.0,359.0,160.0,99.0,116.0,177.0,409.0,4.0,8.0,19.0,28.0,12.0,,,,,,
LOCAL-090114,Aguiar da Beira e Coruche,10,12,400.0,241.0,177.0,20.0,41.0,32.0,10.0,6.0,4.0,1.0,1.0,,1.0,9.0,,0.0,,,,
LOCAL-090102,Carapito,9,3,126.0,82.0,39.0,1.0,3.0,5.0,3.0,4.0,1.0,0.0,1.0,,0.0,0.0,,0.0,,,,
LOCAL-090103,Cortiçada,5,3,93.0,73.0,21.0,1.0,2.0,12.0,0.0,2.0,1.0,0.0,0.0,,1.0,1.0,,0.0,,,,
LOCAL-090105,Dornelas,2,8,191.0,78.0,64.0,2.0,9.0,17.0,2.0,4.0,5.0,0.0,0.0,,1.0,2.0,,0.0,,,,
LOCAL-090106,Eirado,1,6,46.0,51.0,30.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,,1.0,,,,
LOCAL-090107,Forninhos,0,0,58.0,35.0,21.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,,1.0,2.0,,0.0,,,,
LOCAL-090109,Pena Verde,9,8,244.0,53.0,79.0,4.0,9.0,23.0,0.0,7.0,1.0,0.0,2.0,,0.0,5.0,,0.0,,,,
LOCAL-090110,Pinheiro,1,1,51.0,53.0,26.0,2.0,9.0,4.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,
LOCAL-090115,Sequeiros e Gradiz,4,1,138.0,53.0,39.0,3.0,10.0,10.0,0.0,0.0,1.0,2.0,0.0,,1.0,0.0,,0.0,,,,
LOCAL-090116,Souto de Aguiar da Beira e Valverde,2,1,155.0,56.0,35.0,3.0,8.0,15.0,0.0,3.0,2.0,0.0,0.0,,0.0,1.0,,1.0,,,,
LOCAL-090203,Almeida,9,6,229.0,238.0,106.0,20.0,9.0,19.0,6.0,3.0,33.0,1.0,1.0,,0.0,0.0,,0.0,,,,
LOCAL-090230,"Amoreira, Parada e Cabreira",3,2,83.0,55.0,33.0,0.0,3.0,5.0,0.0,3.0,1.0,0.0,1.0,,0.0,0.0,,0.0,,,,
LOCAL-090231,"Azinhal, Peva e Valverde",1,3,43.0,34.0,28.0,0.0,11.0,7.0,0.0,0.0,4.0,0.0,0.0,,0.0,2.0,,0.0,,,,
LOCAL-090207,Castelo Bom,2,0,28.0,34.0,24.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0.0,,,,
LOCAL-090232,"Castelo Mendo, Ade, Monteperobolso e Mesquitela",3,3,50.0,39.0,27.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,
