,territoryName,null_votes,blank_votes,PS,PPD/PSD,CDS-PP,B.E.,CH,A,L,PCP-PEV,PPM,IL,MAS,PAN,PCTP/MRPP,MPT,PDR,PNR,PTP,R.I.R.,NC,PURP,JPP
LOCAL-410104,São Pedro,4,12,107.0,48.0,5.0,46.0,1.0,0.0,3.0,3.0,1.0,2.0,1.0,6.0,1.0,1.0,0.0,2.0,0.0,,,,
LOCAL-410105,Vila do Porto,13,57,487.0,267.0,20.0,100.0,7.0,14.0,8.0,30.0,1.0,7.0,1.0,32.0,6.0,1.0,3.0,1.0,1.0,,,,
LOCAL-420601,Água de Alto,9,18,243.0,113.0,28.0,34.0,3.0,4.0,2.0,7.0,4.0,0.0,1.0,18.0,2.0,4.0,1.0,1.0,3.0,,,,
LOCAL-420602,Ponta Garça,17,44,407.0,297.0,66.0,47.0,5.0,5.0,2.0,19.0,4.0,5.0,1.0,30.0,12.0,3.0,1.0,3.0,1.0,,,,
LOCAL-420603,Ribeira das Tainhas,8,14,128.0,44.0,13.0,13.0,2.0,0.0,4.0,3.0,3.0,0.0,0.0,12.0,2.0,2.0,0.0,0.0,0.0,,,,
LOCAL-420606,Ribeira Seca,3,7,115.0,99.0,13.0,20.0,5.0,3.0,3.0,3.0,2.0,1.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,,,,
LOCAL-420604,Vila Franca do Campo (São Miguel),24,21,289.0,200.0,18.0,52.0,11.0,3.0,6.0,12.0,5.0,5.0,1.0,27.0,5.0,3.0,0.0,5.0,0.0,,,,
LOCAL-420605,Vila Franca do Campo (São Pedro),5,27,185.0,131.0,20.0,38.0,6.0,4.0,6.0,11.0,2.0,0.0,0.0,15.0,4.0,2.0,0.0,0.0,0.0,,,,
LOCAL-010103,Aguada de Cima,34,54,586.0,710.0,71.0,145.0,11.0,17.0,8.0,27.0,1.0,13.0,,38.0,3.0,2.0,3.0,4.0,5.0,15.0,6.0,4.0,1.0
LOCAL-010121,Águeda e Borralha,103,209,2461.0,2172.0,288.0,601.0,56.0,33.0,42.0,200.0,5.0,59.0,,156.0,30.0,9.0,12.0,11.0,9.0,35.0,13.0,14.0,5.0
LOCAL-010122,Barrô e Aguada de Baixo,21,66,507.0,584.0,73.0,111.0,15.0,11.0,6.0,25.0,0.0,8.0,,24.0,5.0,4.0,5.0,0.0,2.0,5.0,4.0,5.0,1.0
LOCAL-010123,"Belazaima do Chão, Castanheira do Vouga e Agadão",11,33,241.0,318.0,52.0,59.0,6.0,2.0,0.0,11.0,1.0,1.0,,16.0,2.0,1.0,1.0,0.0,1.0,7.0,2.0,1.0,2.0
LOCAL-010109,Fermentelos,32,53,251.0,833.0,190.0,119.0,6.0,12.0,3.0,22.0,2.0,18.0,,28.0,5.0,3.0,1.0,2.0,2.0,8.0,2.0,1.0,0.0
LOCAL-010112,Macinhata do Vouga,26,57,570.0,446.0,76.0,150.0,16.0,6.0,10.0,48.0,2.0,9.0,,36.0,10.0,5.0,6.0,8.0,9.0,4.0,1.0,2.0,1.0
LOCAL-010127,Préstimo e Macieira de Alcoba,8,10,142.0,126.0,44.0,45.0,0.0,2.0,3.0,13.0,0.0,1.0,,5.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0
LOCAL-010124,Recardães e Espinhel,73,113,1165.0,872.0,123.0,315.0,23.0,17.0,15.0,86.0,1.0,14.0,,68.0,21.0,10.0,5.0,3.0,10.0,19.0,4.0,4.0,5.0
LOCAL-010125,Travassô e Óis da Ribeira,20,41,477.0,402.0,105.0,94.0,14.0,6.0,6.0,23.0,0.0,13.0,,30.0,10.0,2.0,2.0,5.0,3.0,10.0,0.0,1.0,0.0
LOCAL-010126,"Trofa, Segadães e Lamas do Vouga",28,68,860.0,700.0,139.0,213.0,16.0,17.0,16.0,92.0,0.0,15.0,,37.0,16.0,4.0,4.0,3.0,3.0,12.0,1.0,3.0,4.0
LOCAL-010119,Valongo do Vouga,37,88,949.0,591.0,91.0,216.0,15.0,10.0,12.0,111.0,1.0,13.0,,51.0,16.0,5.0,2.0,4.0,2.0,9.0,5.0,6.0,3.0
LOCAL-010209,Albergaria-a-Velha e Valmaior,87,144,1451.0,1667.0,557.0,506.0,45.0,27.0,33.0,135.0,4.0,47.0,,186.0,21.0,12.0,16.0,13.0,16.0,33.0,12.0,9.0,5.0
LOCAL-010202,Alquerubim,30,28,396.0,317.0,101.0,76.0,15.0,5.0,5.0,11.0,0.0,4.0,,27.0,7.0,2.0,2.0,2.0,0.0,6.0,2.0,1.0,2.0
LOCAL-010203,Angeja,24,31,386.0,250.0,98.0,95.0,6.0,4.0,2.0,50.0,1.0,2.0,,25.0,7.0,0.0,3.0,2.0,0.0,3.0,1.0,3.0,0.0
LOCAL-010204,Branca,39,61,840.0,941.0,353.0,206.0,23.0,12.0,17.0,61.0,3.0,19.0,,57.0,16.0,3.0,5.0,3.0,3.0,17.0,2.0,5.0,7.0
LOCAL-010206,Ribeira de Fráguas,18,31,252.0,264.0,157.0,71.0,7.0,3.0,5.0,22.0,1.0,7.0,,17.0,4.0,3.0,4.0,0.0,3.0,10.0,1.0,1.0,0.0
LOCAL-010210,São João de Loure e Frossos,31,42,423.0,511.0,175.0,143.0,13.0,3.0,7.0,26.0,0.0,13.0,,32.0,6.0,2.0,5.0,3.0,4.0,18.0,3.0,3.0,1.0
LOCAL-010316,"Amoreira da Gândara, Paredes do Bairro e Ancas",36,52,336.0,604.0,117.0,102.0,20.0,8.0,7.0,18.0,1.0,9.0,,40.0,11.0,1.0,3.0,2.0,1.0,8.0,2.0,3.0,1.0
LOCAL-010317,Arcos e Mogofores,36,120,953.0,1054.0,184.0,281.0,30.0,28.0,24.0,105.0,2.0,38.0,,103.0,19.0,6.0,3.0,5.0,0.0,20.0,7.0,6.0,2.0
LOCAL-010304,Avelãs de Caminho,12,13,177.0,216.0,29.0,44.0,4.0,9.0,5.0,10.0,2.0,6.0,,13.0,5.0,1.0,2.0,1.0,0.0,5.0,0.0,1.0,0.0
LOCAL-010305,Avelãs de Cima,22,37,189.0,567.0,65.0,49.0,8.0,6.0,4.0,17.0,3.0,9.0,,19.0,1.0,2.0,1.0,2.0,3.0,7.0,1.0,5.0,1.0
LOCAL-010307,Moita,23,30,334.0,476.0,53.0,101.0,11.0,10.0,7.0,32.0,4.0,8.0,,27.0,3.0,2.0,1.0,4.0,3.0,4.0,1.0,1.0,3.0
LOCAL-010309,Sangalhos,30,84,508.0,685.0,112.0,147.0,44.0,22.0,13.0,83.0,3.0,12.0,,50.0,16.0,5.0,4.0,3.0,5.0,12.0,1.0,4.0,0.0
LOCAL-010310,São Lourenço do Bairro,23,47,324.0,449.0,48.0,95.0,9.0,12.0,9.0,24.0,2.0,13.0,,21.0,7.0,3.0,5.0,5.0,1.0,9.0,1.0,7.0,1.0
LOCAL-010318,"Tamengos, Aguim e Óis do Bairro",37,74,554.0,593.0,62.0,116.0,11.0,9.0,10.0,33.0,3.0,22.0,,40.0,6.0,2.0,4.0,1.0,2.0,14.0,4.0,1.0,0.0
LOCAL-010312,Vila Nova de Monsarros,14,33,308.0,254.0,21.0,50.0,1.0,0.0,3.0,13.0,1.0,12.0,,15.0,4.0,1.0,1.0,1.0,3.0,8.0,1.0,1.0,0.0
LOCAL-010313,Vilarinho do Bairro,35,55,261.0,742.0,92.0,65.0,7.0,3.0,2.0,8.0,3.0,18.0,,19.0,4.0,0.0,3.0,4.0,2.0,13.0,2.0,10.0,0.0
LOCAL-010402,Alvarenga,8,20,172.0,259.0,45.0,24.0,2.0,1.0,1.0,4.0,0.0,1.0,,5.0,3.0,0.0,1.0,1.0,2.0,8.0,0.0,0.0,1.0
LOCAL-010421,Arouca e Burgo,25,109,904.0,1007.0,155.0,185.0,10.0,9.0,18.0,75.0,8.0,31.0,,42.0,8.0,1.0,6.0,3.0,3.0,34.0,2.0,4.0,1.0
LOCAL-010422,Cabreiros e Albergaria da Serra,1,2,59.0,28.0,1.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0
LOCAL-010423,Canelas e Espiunca,7,17,126.0,222.0,60.0,36.0,1.0,3.0,2.0,7.0,3.0,3.0,,2.0,4.0,0.0,0.0,1.0,2.0,18.0,0.0,1.0,2.0
LOCAL-010407,Chave,8,16,213.0,260.0,57.0,64.0,6.0,8.0,0.0,22.0,3.0,5.0,,22.0,4.0,2.0,2.0,2.0,1.0,23.0,2.0,6.0,0.0
LOCAL-010424,Covelo de Paivó e Janarde,1,2,38.0,58.0,9.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOCAL-010409,Escariz,24,41,386.0,477.0,78.0,58.0,0.0,5.0,4.0,7.0,1.0,7.0,,27.0,4.0,1.0,0.0,0.0,3.0,22.0,1.0,0.0,2.0
LOCAL-010411,Fermedo,6,19,200.0,327.0,54.0,47.0,1.0,1.0,1.0,13.0,1.0,5.0,,10.0,3.0,0.0,0.0,1.0,0.0,6.0,3.0,1.0,1.0
LOCAL-010413,Mansores,6,19,158.0,289.0,67.0,25.0,5.0,2.0,0.0,4.0,0.0,4.0,,8.0,4.0,1.0,1.0,2.0,2.0,7.0,2.0,0.0,0.0
LOCAL-010414,Moldes,9,18,255.0,234.0,45.0,30.0,0.0,2.0,5.0,10.0,3.0,6.0,,10.0,6.0,0.0,0.0,1.0,0.0,13.0,1.0,1.0,0.0
LOCAL-010415,Rossas,14,36,216.0,345.0,87.0,56.0,5.0,3.0,5.0,20.0,6.0,2.0,,17.0,3.0,1.0,3.0,2.0,4.0,15.0,2.0,0.0,0.0
LOCAL-010416,Santa Eulália,33,64,350.0,432.0,124.0,66.0,4.0,3.0,4.0,22.0,3.0,8.0,,20.0,7.0,1.0,3.0,6.0,2.0,17.0,3.0,2.0,0.0
LOCAL-010417,São Miguel do Mato,3,5,90.0,151.0,21.0,21.0,0.0,1.0,0.0,7.0,1.0,1.0,,6.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
LOCAL-010418,Tropeço,12,22,169.0,213.0,55.0,31.0,4.0,2.0,5.0,7.0,0.0,5.0,,13.0,3.0,2.0,0.0,7.0,1.0,12.0,1.0,1.0,1.0
LOCAL-010419,Urrô,3,19,141.0,230.0,42.0,29.0,1.0,2.0,3.0,4.0,6.0,5.0,,6.0,0.0,0.0,0.0,2.0,1.0,6.0,2.0,0.0,1.0
LOCAL-010420,Várzea,5,8,89.0,120.0,21.0,17.0,1.0,2.0,1.0,5.0,5.0,3.0,,1.0,0.0,1.0,2.0,2.0,0.0,9.0,0.0,1.0,0.0
LOCAL-010501,Aradas,53,162,1361.0,1545.0,280.0,489.0,56.0,55.0,66.0,132.0,4.0,62.0,,188.0,24.0,5.0,5.0,11.0,5.0,21.0,9.0,12.0,4.0
LOCAL-010502,Cacia,48,106,1175.0,874.0,147.0,475.0,46.0,38.0,32.0,113.0,3.0,29.0,,114.0,22.0,7.0,6.0,9.0,2.0,23.0,9.0,6.0,5.0
LOCAL-010515,Eixo e Eirol,70,95,998.0,744.0,181.0,326.0,40.0,29.0,26.0,87.0,4.0,30.0,,104.0,13.0,3.0,1.0,5.0,3.0,23.0,8.0,6.0,3.0
LOCAL-010505,Esgueira,103,210,2174.0,1604.0,287.0,869.0,80.0,72.0,82.0,270.0,5.0,78.0,,270.0,46.0,15.0,11.0,17.0,10.0,34.0,12.0,8.0,5.0
LOCAL-010517,Glória e Vera Cruz,130,289,3214.0,3346.0,623.0,1404.0,88.0,125.0,198.0,485.0,12.0,192.0,,414.0,36.0,18.0,9.0,12.0,7.0,39.0,16.0,19.0,5.0
LOCAL-010508,Oliveirinha,42,96,553.0,882.0,151.0,247.0,24.0,31.0,15.0,44.0,1.0,20.0,,72.0,4.0,4.0,3.0,7.0,5.0,12.0,10.0,4.0,0.0
LOCAL-010516,"Requeixo, Nossa Senhora de Fátima e Nariz",56,70,419.0,914.0,213.0,214.0,17.0,19.0,7.0,20.0,2.0,5.0,,48.0,13.0,4.0,1.0,6.0,5.0,8.0,5.0,5.0,2.0
LOCAL-010513,Santa Joana,75,114,1230.0,1280.0,198.0,459.0,46.0,43.0,29.0,136.0,4.0,47.0,,165.0,19.0,11.0,6.0,14.0,7.0,23.0,5.0,14.0,2.0
LOCAL-010510,São Bernardo,52,105,724.0,873.0,204.0,324.0,30.0,43.0,27.0,76.0,3.0,40.0,,100.0,11.0,15.0,7.0,4.0,2.0,22.0,10.0,5.0,6.0
LOCAL-010511,São Jacinto,3,7,200.0,74.0,18.0,34.0,2.0,4.0,2.0,23.0,1.0,1.0,,9.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
LOCAL-010602,Fornos,13,11,337.0,233.0,11.0,36.0,3.0,1.0,1.0,10.0,1.0,3.0,,20.0,1.0,1.0,0.0,1.0,0.0,16.0,0.0,4.0,1.0
LOCAL-010610,"Raiva, Pedorido e Paraíso",57,53,950.0,573.0,27.0,219.0,9.0,7.0,12.0,57.0,2.0,14.0,,45.0,9.0,6.0,0.0,2.0,0.0,67.0,1.0,5.0,2.0
LOCAL-010606,Real,10,21,266.0,181.0,20.0,36.0,1.0,1.0,0.0,6.0,0.0,2.0,,15.0,4.0,3.0,0.0,1.0,0.0,29.0,1.0,1.0,2.0
LOCAL-010607,Santa Maria de Sardoura,26,29,478.0,482.0,27.0,56.0,2.0,0.0,1.0,17.0,2.0,6.0,,18.0,4.0,0.0,0.0,0.0,1.0,29.0,3.0,2.0,1.0
LOCAL-010608,São Martinho de Sardoura,21,17,353.0,480.0,28.0,62.0,2.0,0.0,1.0,12.0,0.0,1.0,,13.0,3.0,3.0,1.0,1.0,0.0,33.0,1.0,3.0,1.0
LOCAL-010611,Sobrado e Bairros,46,41,1004.0,916.0,56.0,157.0,7.0,5.0,5.0,34.0,1.0,9.0,,55.0,13.0,2.0,2.0,3.0,1.0,86.0,0.0,7.0,2.0
LOCAL-010706,Anta e Guetim,109,155,2460.0,2020.0,164.0,663.0,36.0,32.0,58.0,329.0,5.0,71.0,,191.0,47.0,18.0,9.0,8.0,8.0,44.0,25.0,13.0,12.0
LOCAL-010702,Espinho,82,129,1749.0,2379.0,253.0,602.0,29.0,29.0,63.0,329.0,10.0,107.0,,196.0,21.0,12.0,6.0,13.0,2.0,29.0,21.0,13.0,12.0
LOCAL-010704,Paramos,25,28,716.0,428.0,38.0,203.0,7.0,8.0,8.0,92.0,2.0,64.0,,39.0,20.0,6.0,0.0,1.0,3.0,8.0,4.0,1.0,1.0
LOCAL-010705,Silvalde,63,75,1515.0,665.0,68.0,298.0,29.0,9.0,20.0,211.0,0.0,29.0,,101.0,31.0,2.0,4.0,13.0,5.0,12.0,6.0,11.0,7.0
LOCAL-010801,Avanca,53,85,1084.0,859.0,135.0,285.0,23.0,14.0,24.0,99.0,7.0,28.0,,70.0,22.0,9.0,10.0,6.0,14.0,11.0,2.0,5.0,2.0
LOCAL-010808,Beduído e Veiros,81,129,1474.0,1483.0,164.0,482.0,32.0,44.0,33.0,223.0,2.0,50.0,,122.0,28.0,8.0,8.0,16.0,8.0,24.0,12.0,8.0,0.0
LOCAL-010809,Canelas e Fermelã,16,51,462.0,470.0,73.0,143.0,6.0,15.0,9.0,66.0,1.0,12.0,,31.0,4.0,3.0,3.0,3.0,3.0,7.0,0.0,5.0,2.0
LOCAL-010805,Pardilhó,21,52,532.0,455.0,79.0,158.0,19.0,8.0,6.0,106.0,2.0,10.0,,47.0,9.0,1.0,5.0,6.0,4.0,8.0,4.0,5.0,0.0
LOCAL-010806,Salreu,31,60,580.0,681.0,98.0,143.0,16.0,12.0,9.0,45.0,1.0,12.0,,44.0,13.0,3.0,2.0,5.0,2.0,10.0,2.0,3.0,3.0
LOCAL-011005,Gafanha da Encarnação,30,87,581.0,786.0,127.0,234.0,25.0,22.0,17.0,53.0,2.0,20.0,,85.0,11.0,10.0,4.0,4.0,3.0,17.0,4.0,5.0,4.0
LOCAL-011006,Gafanha da Nazaré,108,262,1997.0,2062.0,350.0,712.0,95.0,78.0,69.0,234.0,14.0,61.0,,279.0,35.0,28.0,10.0,24.0,17.0,34.0,15.0,18.0,4.0
LOCAL-011007,Gafanha do Carmo,15,33,196.0,251.0,35.0,70.0,8.0,5.0,1.0,15.0,0.0,2.0,,35.0,5.0,2.0,0.0,3.0,3.0,5.0,1.0,1.0,0.0
LOCAL-011008,Ílhavo (São Salvador),105,247,2479.0,2395.0,331.0,912.0,76.0,62.0,95.0,254.0,9.0,87.0,,304.0,36.0,18.0,17.0,19.0,5.0,44.0,12.0,14.0,4.0
LOCAL-011102,Barcouço,23,36,389.0,213.0,23.0,120.0,6.0,2.0,6.0,54.0,2.0,5.0,,23.0,7.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0
LOCAL-011103,Casal Comba,21,54,609.0,342.0,30.0,163.0,13.0,16.0,4.0,58.0,1.0,12.0,,35.0,6.0,3.0,3.0,4.0,2.0,8.0,4.0,2.0,2.0
LOCAL-011104,Luso,21,37,484.0,268.0,27.0,182.0,12.0,9.0,6.0,66.0,0.0,2.0,,40.0,11.0,2.0,0.0,2.0,1.0,5.0,1.0,3.0,1.0
LOCAL-011109,"Mealhada, Ventosa do Bairro e Antes",52,142,1143.0,884.0,116.0,320.0,29.0,22.0,13.0,118.0,4.0,25.0,,83.0,12.0,5.0,5.0,7.0,2.0,23.0,8.0,5.0,2.0
LOCAL-011106,Pampilhosa,38,59,820.0,343.0,45.0,246.0,22.0,9.0,14.0,141.0,4.0,23.0,,55.0,16.0,7.0,5.0,6.0,2.0,11.0,2.0,4.0,1.0
LOCAL-011107,Vacariça,17,23,414.0,198.0,17.0,87.0,4.0,3.0,1.0,38.0,0.0,4.0,,17.0,7.0,1.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0
LOCAL-011201,Bunheiro,15,25,282.0,570.0,74.0,58.0,3.0,4.0,3.0,27.0,2.0,4.0,,25.0,10.0,3.0,6.0,3.0,2.0,12.0,2.0,4.0,0.0
LOCAL-011202,Monte,17,26,182.0,262.0,20.0,44.0,7.0,2.0,4.0,18.0,1.0,3.0,,18.0,4.0,0.0,1.0,1.0,1.0,10.0,3.0,0.0,0.0
LOCAL-011203,Murtosa,16,40,310.0,606.0,48.0,83.0,9.0,7.0,12.0,28.0,0.0,9.0,,30.0,8.0,4.0,3.0,0.0,3.0,12.0,0.0,1.0,1.0
LOCAL-011204,Torreira,16,27,294.0,421.0,82.0,91.0,13.0,7.0,4.0,38.0,1.0,13.0,,34.0,5.0,2.0,0.0,0.0,1.0,12.0,2.0,2.0,1.0
LOCAL-011301,Carregosa,43,50,645.0,695.0,128.0,168.0,15.0,21.0,6.0,41.0,4.0,24.0,,53.0,10.0,1.0,5.0,6.0,4.0,22.0,5.0,2.0,1.0
LOCAL-011302,Cesar,22,37,596.0,522.0,74.0,155.0,10.0,7.0,10.0,36.0,6.0,12.0,,56.0,9.0,5.0,0.0,1.0,1.0,21.0,2.0,3.0,5.0
LOCAL-011303,Fajões,36,25,504.0,546.0,87.0,132.0,5.0,7.0,11.0,35.0,0.0,9.0,,39.0,9.0,4.0,2.0,3.0,7.0,23.0,1.0,5.0,2.0
LOCAL-011304,Loureiro,36,44,588.0,816.0,91.0,139.0,10.0,9.0,16.0,25.0,1.0,6.0,,48.0,10.0,6.0,1.0,1.0,1.0,9.0,3.0,1.0,1.0
LOCAL-011305,Macieira de Sarnes,14,31,431.0,289.0,25.0,145.0,3.0,1.0,1.0,55.0,3.0,2.0,,37.0,4.0,1.0,2.0,0.0,0.0,4.0,2.0,1.0,0.0
LOCAL-011320,Nogueira do Cravo e Pindelo,81,65,1177.0,828.0,105.0,272.0,9.0,14.0,16.0,84.0,5.0,25.0,,105.0,22.0,4.0,12.0,3.0,8.0,27.0,10.0,10.0,4.0
LOCAL-011321,"O. Azeméis, Riba-Ul, Ul, Macinhata Seixa, Madail",160,230,3865.0,3278.0,456.0,1149.0,47.0,37.0,53.0,220.0,11.0,78.0,,388.0,64.0,11.0,19.0,17.0,16.0,78.0,24.0,17.0,4.0
LOCAL-011310,Ossela,33,26,395.0,343.0,71.0,89.0,4.0,5.0,9.0,7.0,2.0,2.0,,32.0,4.0,1.0,2.0,0.0,2.0,10.0,0.0,1.0,2.0
LOCAL-011322,"Pinheiro da Bemposta, Travanca e Palmaz",54,82,1245.0,1046.0,221.0,269.0,26.0,14.0,28.0,49.0,8.0,26.0,,94.0,9.0,4.0,2.0,4.0,5.0,27.0,8.0,12.0,1.0
LOCAL-011315,São Martinho da Gândara,21,22,447.0,328.0,38.0,100.0,4.0,6.0,5.0,19.0,1.0,7.0,,28.0,3.0,1.0,1.0,1.0,1.0,10.0,1.0,0.0,1.0
LOCAL-011318,São Roque,42,76,1075.0,864.0,93.0,284.0,16.0,9.0,9.0,39.0,5.0,20.0,,70.0,21.0,3.0,2.0,3.0,5.0,29.0,2.0,6.0,1.0
LOCAL-011319,Vila de Cucujães,92,132,2561.0,1286.0,173.0,536.0,35.0,26.0,29.0,109.0,9.0,52.0,,129.0,14.0,6.0,0.0,8.0,9.0,37.0,9.0,9.0,4.0
LOCAL-011407,"Bustos, Troviscal e Mamarrosa",70,84,550.0,1454.0,500.0,132.0,45.0,27.0,10.0,44.0,4.0,19.0,,54.0,6.0,4.0,5.0,10.0,6.0,17.0,3.0,9.0,1.0
LOCAL-011403,Oiã,64,126,735.0,1450.0,394.0,268.0,61.0,32.0,20.0,65.0,3.0,44.0,,105.0,10.0,8.0,13.0,2.0,5.0,22.0,4.0,6.0,2.0
LOCAL-011404,Oliveira do Bairro,69,128,658.0,1110.0,295.0,228.0,31.0,11.0,15.0,55.0,2.0,32.0,,70.0,11.0,8.0,9.0,11.0,5.0,22.0,2.0,7.0,2.0
LOCAL-011405,Palhaça,24,56,250.0,715.0,151.0,68.0,18.0,9.0,5.0,4.0,2.0,12.0,,19.0,3.0,0.0,8.0,1.0,3.0,8.0,5.0,3.0,0.0
LOCAL-011502,Cortegaça,36,61,812.0,645.0,55.0,231.0,10.0,8.0,11.0,61.0,1.0,37.0,,65.0,11.0,4.0,1.0,2.0,4.0,8.0,1.0,1.0,0.0
LOCAL-011503,Esmoriz,101,152,2165.0,2276.0,147.0,702.0,33.0,38.0,39.0,214.0,6.0,76.0,,236.0,49.0,17.0,9.0,10.0,5.0,48.0,8.0,10.0,7.0
LOCAL-011504,Maceda,44,53,738.0,481.0,39.0,164.0,8.0,6.0,8.0,79.0,0.0,9.0,,50.0,10.0,2.0,1.0,0.0,1.0,13.0,2.0,2.0,1.0
LOCAL-011509,"Ovar, S.João, Arada e S.Vicente de Pereira Jusã",270,503,5422.0,4037.0,398.0,1855.0,89.0,91.0,117.0,918.0,12.0,191.0,,505.0,109.0,26.0,15.0,20.0,21.0,90.0,21.0,23.0,8.0
LOCAL-011507,Válega,63,97,1234.0,917.0,75.0,313.0,11.0,5.0,15.0,109.0,2.0,19.0,,82.0,15.0,4.0,4.0,7.0,2.0,17.0,3.0,11.0,2.0
LOCAL-010901,Argoncilhe,67,82,1644.0,1646.0,209.0,386.0,21.0,19.0,26.0,93.0,3.0,78.0,,151.0,19.0,9.0,8.0,5.0,9.0,32.0,7.0,11.0,1.0
LOCAL-010902,Arrifana,63,72,1317.0,862.0,117.0,322.0,7.0,12.0,27.0,74.0,3.0,25.0,,99.0,17.0,6.0,6.0,4.0,3.0,24.0,2.0,8.0,1.0
LOCAL-010932,Caldas de São Jorge e Pigeiros,26,62,822.0,578.0,89.0,238.0,6.0,4.0,8.0,86.0,2.0,17.0,,44.0,14.0,4.0,1.0,1.0,4.0,16.0,2.0,1.0,1.0
LOCAL-010933,"Canedo, Vale e Vila Maior",99,265,1327.0,1586.0,193.0,390.0,22.0,20.0,22.0,85.0,4.0,35.0,,107.0,23.0,11.0,7.0,12.0,6.0,45.0,7.0,11.0,1.0
LOCAL-010904,Escapães,28,41,673.0,539.0,62.0,175.0,12.0,11.0,13.0,35.0,3.0,18.0,,57.0,10.0,5.0,4.0,2.0,3.0,16.0,3.0,2.0,1.0
LOCAL-010907,Fiães,64,118,1523.0,1154.0,105.0,445.0,21.0,18.0,14.0,155.0,1.0,47.0,,105.0,25.0,10.0,1.0,7.0,6.0,18.0,5.0,5.0,2.0
LOCAL-010908,Fornos,37,53,640.0,539.0,57.0,191.0,9.0,6.0,12.0,45.0,2.0,11.0,,55.0,6.0,2.0,0.0,4.0,3.0,9.0,5.0,3.0,3.0
LOCAL-010934,"Lobão, Gião, Louredo e Guisande",94,163,1683.0,1740.0,252.0,420.0,29.0,21.0,20.0,84.0,7.0,51.0,,129.0,23.0,10.0,9.0,7.0,18.0,55.0,6.0,8.0,0.0
LOCAL-010913,Lourosa,101,105,1784.0,1341.0,152.0,466.0,24.0,19.0,29.0,80.0,3.0,48.0,,109.0,27.0,6.0,8.0,7.0,6.0,46.0,10.0,8.0,2.0
LOCAL-010914,Milheirós de Poiares,40,45,880.0,515.0,60.0,201.0,7.0,7.0,12.0,31.0,1.0,19.0,,48.0,17.0,6.0,3.0,11.0,2.0,20.0,6.0,5.0,2.0
LOCAL-010916,Mozelos,58,81,1565.0,1172.0,99.0,487.0,20.0,16.0,27.0,100.0,3.0,62.0,,160.0,34.0,11.0,6.0,7.0,6.0,33.0,8.0,7.0,2.0
LOCAL-010917,Nogueira da Regedoura,50,77,1229.0,976.0,115.0,317.0,17.0,18.0,14.0,92.0,4.0,33.0,,83.0,19.0,10.0,7.0,22.0,7.0,16.0,4.0,12.0,0.0
LOCAL-010919,Paços de Brandão,48,68,868.0,1006.0,141.0,297.0,10.0,8.0,22.0,74.0,2.0,34.0,,81.0,14.0,7.0,1.0,3.0,4.0,13.0,12.0,7.0,5.0
LOCAL-010921,Rio Meão,50,57,1045.0,841.0,101.0,294.0,11.0,11.0,12.0,51.0,2.0,31.0,,62.0,12.0,5.0,0.0,5.0,5.0,15.0,2.0,5.0,1.0
LOCAL-010922,Romariz,35,45,588.0,535.0,98.0,91.0,5.0,8.0,7.0,18.0,1.0,16.0,,38.0,6.0,3.0,2.0,3.0,1.0,7.0,1.0,5.0,1.0
LOCAL-010924,Sanguedo,32,33,654.0,600.0,65.0,159.0,14.0,15.0,6.0,42.0,2.0,15.0,,60.0,9.0,4.0,3.0,7.0,1.0,21.0,2.0,2.0,1.0
LOCAL-010935,"Santa Maria da Feira, Travanca, Sanfins e Espargo",162,268,3380.0,3504.0,329.0,1069.0,69.0,41.0,81.0,269.0,8.0,169.0,,359.0,50.0,19.0,8.0,23.0,17.0,81.0,18.0,20.0,6.0
LOCAL-010925,Santa Maria de Lamas,48,70,1104.0,808.0,97.0,312.0,6.0,8.0,6.0,79.0,5.0,62.0,,79.0,20.0,5.0,4.0,7.0,4.0,20.0,3.0,9.0,4.0
LOCAL-010926,São João de Ver,96,172,2069.0,1502.0,155.0,664.0,49.0,25.0,31.0,133.0,0.0,65.0,,157.0,31.0,18.0,5.0,9.0,15.0,34.0,7.0,10.0,3.0
LOCAL-010936,São Miguel de Souto e Mosteirô,78,92,1519.0,894.0,177.0,335.0,11.0,11.0,25.0,60.0,4.0,19.0,,103.0,18.0,7.0,6.0,3.0,6.0,21.0,7.0,5.0,2.0
LOCAL-010918,São Paio de Oleiros,39,55,834.0,553.0,62.0,246.0,9.0,11.0,12.0,164.0,2.0,21.0,,71.0,23.0,4.0,4.0,3.0,3.0,15.0,1.0,4.0,0.0
LOCAL-011601,São João da Madeira,185,312,4550.0,3131.0,532.0,1303.0,65.0,50.0,76.0,450.0,11.0,128.0,,391.0,61.0,17.0,18.0,17.0,8.0,73.0,29.0,23.0,6.0
