,territoryName,null_votes,blank_votes,PS,PPD/PSD,CDS-PP,B.E.,CH,A,L,PCP-PEV,PPM,IL,MAS,PAN,PCTP/MRPP,MPT,PDR,PNR,PTP,R.I.R.,NC,PURP,JPP
LOCAL-110413,Painho e Figueiros,16,27,360.0,239.0,19.0,46.0,7.0,6.0,6.0,41.0,1.0,8.0,0.0,28.0,8.0,1.0,6.0,2.0,2.0,3.0,1.0,1.0,
LOCAL-110407,Peral,9,12,151.0,139.0,22.0,44.0,14.0,3.0,5.0,20.0,0.0,3.0,0.0,14.0,3.0,1.0,2.0,0.0,0.0,6.0,0.0,0.0,
LOCAL-110409,Vermelha,9,19,263.0,201.0,25.0,39.0,8.0,3.0,4.0,13.0,1.0,4.0,2.0,19.0,3.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,
LOCAL-110410,Vilar,21,37,240.0,321.0,45.0,52.0,17.0,7.0,4.0,23.0,5.0,5.0,2.0,30.0,6.0,2.0,4.0,4.0,3.0,3.0,1.0,2.0,
LOCAL-110501,Alcabideche,246,404,6264.0,4761.0,1046.0,1545.0,376.0,401.0,230.0,927.0,55.0,445.0,20.0,884.0,167.0,51.0,28.0,92.0,27.0,68.0,52.0,39.0,
LOCAL-110507,Carcavelos e Parede,216,485,7323.0,7111.0,1468.0,2167.0,311.0,408.0,585.0,1279.0,38.0,811.0,8.0,1236.0,94.0,52.0,29.0,68.0,13.0,45.0,52.0,43.0,
LOCAL-110508,Cascais e Estoril,298,522,7665.0,10516.0,2906.0,1995.0,438.0,510.0,528.0,1208.0,43.0,1265.0,11.0,1232.0,138.0,68.0,26.0,109.0,18.0,62.0,73.0,42.0,
LOCAL-110506,São Domingos de Rana,361,696,10156.0,6052.0,1076.0,2792.0,567.0,420.0,480.0,1920.0,48.0,555.0,26.0,1485.0,239.0,85.0,45.0,157.0,21.0,116.0,89.0,47.0,
LOCAL-110601,Ajuda,100,129,3211.0,1179.0,247.0,691.0,113.0,102.0,169.0,823.0,18.0,160.0,8.0,315.0,88.0,10.0,8.0,21.0,3.0,19.0,16.0,9.0,
LOCAL-110602,Alcântara,83,112,2599.0,1508.0,340.0,629.0,95.0,88.0,250.0,582.0,7.0,273.0,5.0,267.0,63.0,20.0,8.0,18.0,6.0,19.0,13.0,14.0,
LOCAL-110654,Alvalade,184,360,5367.0,6075.0,1518.0,1657.0,246.0,379.0,692.0,1156.0,28.0,988.0,12.0,778.0,71.0,39.0,24.0,45.0,14.0,49.0,43.0,29.0,
LOCAL-110655,Areeiro,110,231,3299.0,4046.0,947.0,1047.0,165.0,239.0,510.0,639.0,12.0,668.0,9.0,477.0,49.0,21.0,4.0,23.0,8.0,23.0,30.0,30.0,
LOCAL-110656,Arroios,177,264,4679.0,3622.0,767.0,1836.0,163.0,232.0,946.0,1168.0,31.0,591.0,15.0,736.0,82.0,33.0,19.0,56.0,5.0,36.0,52.0,17.0,
LOCAL-110657,Avenidas Novas,119,222,3506.0,4650.0,1294.0,956.0,158.0,262.0,480.0,669.0,14.0,905.0,3.0,467.0,34.0,6.0,14.0,30.0,10.0,20.0,24.0,15.0,
LOCAL-110607,Beato,91,101,2463.0,1024.0,184.0,609.0,109.0,68.0,105.0,571.0,17.0,118.0,9.0,282.0,61.0,12.0,7.0,20.0,10.0,18.0,13.0,12.0,
LOCAL-110658,Belém,76,150,2396.0,3154.0,1059.0,628.0,124.0,153.0,299.0,492.0,16.0,589.0,3.0,329.0,29.0,26.0,8.0,20.0,1.0,13.0,17.0,11.0,
LOCAL-110608,Benfica,251,352,7975.0,4862.0,910.0,1898.0,294.0,274.0,510.0,1515.0,30.0,530.0,25.0,838.0,105.0,41.0,25.0,52.0,13.0,52.0,47.0,42.0,
LOCAL-110659,Campo de Ourique,134,197,3741.0,3361.0,867.0,1066.0,146.0,206.0,481.0,768.0,22.0,666.0,9.0,533.0,67.0,25.0,7.0,33.0,10.0,24.0,21.0,30.0,
LOCAL-110610,Campolide,94,112,2736.0,1814.0,389.0,701.0,95.0,119.0,186.0,556.0,11.0,349.0,20.0,300.0,52.0,20.0,11.0,28.0,7.0,30.0,22.0,15.0,
LOCAL-110611,Carnide,139,182,3558.0,2596.0,535.0,873.0,140.0,127.0,262.0,886.0,16.0,359.0,11.0,394.0,65.0,14.0,9.0,35.0,10.0,19.0,21.0,16.0,
LOCAL-110660,Estrela,82,172,2655.0,3282.0,1168.0,718.0,115.0,184.0,371.0,587.0,16.0,728.0,10.0,367.0,42.0,19.0,7.0,26.0,4.0,17.0,12.0,14.0,
