,territoryName,null_votes,blank_votes,PS,PPD/PSD.CDS-PP.PPM,CH,B.E.,IL,ADN,PAN,R.I.R.,L,PCP-PEV,E,MAS,MPT,PCTP/MRPP,VP,PPD/PSD,CDS-PP,JPP,PTP,A,NC,PPD/PSD.CDS-PP,PPM
LOCAL-010505,Esgueira,46,104,2656.0,,473.0,469.0,405.0,22.0,133.0,30.0,103.0,165.0,9.0,6.0,10.0,26.0,7.0,1927.0,138.0,5.0,,,,,
LOCAL-010517,Glória e Vera Cruz,57,145,3942.0,,476.0,692.0,898.0,21.0,211.0,20.0,246.0,297.0,5.0,18.0,13.0,30.0,15.0,3772.0,254.0,4.0,,,,,
LOCAL-010508,Oliveirinha,26,45,721.0,,206.0,116.0,118.0,2.0,20.0,10.0,23.0,25.0,1.0,2.0,1.0,6.0,3.0,924.0,56.0,4.0,,,,,
LOCAL-010516,"Requeixo, Nossa Senhora de Fátima e Nariz",30,30,594.0,,210.0,103.0,71.0,4.0,25.0,9.0,10.0,22.0,3.0,2.0,3.0,6.0,0.0,952.0,104.0,1.0,,,,,
LOCAL-010513,Santa Joana,32,54,1522.0,,281.0,248.0,236.0,9.0,77.0,22.0,40.0,78.0,3.0,5.0,6.0,15.0,4.0,1404.0,89.0,2.0,,,,,
LOCAL-010510,São Bernardo,11,39,962.0,,205.0,171.0,222.0,3.0,51.0,14.0,32.0,38.0,6.0,2.0,5.0,7.0,3.0,1072.0,85.0,3.0,,,,,
LOCAL-010511,São Jacinto,5,3,221.0,,20.0,15.0,6.0,0.0,2.0,0.0,2.0,12.0,0.0,1.0,0.0,2.0,1.0,105.0,5.0,0.0,,,,,
LOCAL-010602,Fornos,4,6,377.0,,11.0,6.0,17.0,1.0,6.0,8.0,4.0,10.0,0.0,0.0,0.0,2.0,2.0,241.0,6.0,0.0,,,,,
LOCAL-010610,"Raiva, Pedorido e Paraíso",30,11,1101.0,,89.0,94.0,63.0,8.0,14.0,58.0,6.0,37.0,0.0,2.0,1.0,12.0,2.0,641.0,18.0,1.0,,,,,
LOCAL-010606,Real,11,9,288.0,,25.0,19.0,9.0,2.0,5.0,14.0,5.0,3.0,0.0,0.0,0.0,4.0,1.0,199.0,5.0,0.0,,,,,
LOCAL-010607,Santa Maria de Sardoura,14,11,531.0,,24.0,18.0,31.0,2.0,10.0,19.0,3.0,11.0,0.0,0.0,2.0,3.0,0.0,468.0,19.0,1.0,,,,,
LOCAL-010608,São Martinho de Sardoura,9,7,387.0,,35.0,28.0,17.0,0.0,3.0,22.0,5.0,11.0,0.0,0.0,1.0,1.0,1.0,483.0,9.0,0.0,,,,,
LOCAL-010611,Sobrado e Bairros,20,27,1051.0,,89.0,47.0,72.0,1.0,27.0,38.0,13.0,28.0,1.0,1.0,4.0,8.0,3.0,942.0,29.0,1.0,,,,,
LOCAL-010706,Anta e Guetim,36,61,2941.0,,274.0,298.0,243.0,10.0,79.0,17.0,52.0,218.0,3.0,4.0,11.0,49.0,8.0,2168.0,108.0,2.0,,,,,
LOCAL-010702,Espinho,60,78,2207.0,,251.0,311.0,377.0,10.0,107.0,10.0,76.0,237.0,2.0,3.0,10.0,14.0,9.0,2559.0,132.0,3.0,,,,,
LOCAL-010704,Paramos,19,18,894.0,,62.0,76.0,66.0,4.0,23.0,6.0,7.0,54.0,0.0,3.0,2.0,11.0,3.0,455.0,27.0,3.0,,,,,
LOCAL-010705,Silvalde,35,31,1903.0,,144.0,137.0,105.0,8.0,41.0,23.0,22.0,136.0,1.0,3.0,4.0,23.0,4.0,774.0,39.0,2.0,,,,,
LOCAL-010801,Avanca,25,47,1228.0,,170.0,95.0,91.0,4.0,24.0,11.0,30.0,61.0,0.0,4.0,8.0,10.0,1.0,938.0,67.0,4.0,,,,,
LOCAL-010808,Beduído e Veiros,51,55,1868.0,,312.0,198.0,193.0,12.0,60.0,20.0,40.0,144.0,1.0,7.0,4.0,26.0,5.0,1590.0,83.0,4.0,,,,,
LOCAL-010809,Canelas e Fermelã,13,27,565.0,,85.0,56.0,47.0,1.0,13.0,10.0,10.0,47.0,1.0,1.0,2.0,8.0,3.0,507.0,50.0,0.0,,,,,
LOCAL-010805,Pardilhó,18,22,630.0,,117.0,79.0,33.0,0.0,21.0,7.0,3.0,48.0,2.0,1.0,1.0,13.0,1.0,529.0,31.0,0.0,,,,,
LOCAL-010806,Salreu,26,21,721.0,,116.0,48.0,62.0,2.0,14.0,10.0,12.0,28.0,1.0,2.0,0.0,6.0,3.0,659.0,36.0,3.0,,,,,
LOCAL-011005,Gafanha da Encarnação,21,37,801.0,,239.0,123.0,143.0,9.0,40.0,12.0,24.0,23.0,2.0,1.0,11.0,8.0,4.0,813.0,56.0,0.0,,,,,
LOCAL-011006,Gafanha da Nazaré,52,113,2504.0,,603.0,364.0,444.0,13.0,140.0,34.0,83.0,130.0,4.0,7.0,15.0,37.0,6.0,2297.0,161.0,4.0,,,,,
LOCAL-011007,Gafanha do Carmo,9,24,254.0,,62.0,42.0,21.0,8.0,14.0,4.0,4.0,10.0,0.0,0.0,1.0,3.0,6.0,246.0,19.0,0.0,,,,,
LOCAL-011008,Ílhavo (São Salvador),66,126,3112.0,,559.0,469.0,465.0,20.0,143.0,38.0,111.0,148.0,3.0,17.0,15.0,21.0,15.0,2568.0,134.0,0.0,,,,,
LOCAL-011102,Barcouço,10,23,518.0,,75.0,59.0,30.0,3.0,12.0,4.0,15.0,36.0,0.0,0.0,2.0,2.0,5.0,250.0,12.0,2.0,,,,,
LOCAL-011103,Casal Comba,11,20,756.0,,104.0,62.0,45.0,2.0,9.0,4.0,6.0,51.0,2.0,8.0,2.0,12.0,3.0,387.0,13.0,1.0,,,,,
LOCAL-011104,Luso,5,27,611.0,,72.0,93.0,40.0,1.0,27.0,4.0,6.0,44.0,1.0,0.0,1.0,6.0,1.0,283.0,12.0,0.0,,,,,
LOCAL-011109,"Mealhada, Ventosa do Bairro e Antes",31,57,1470.0,,196.0,151.0,153.0,8.0,50.0,11.0,24.0,71.0,3.0,6.0,2.0,9.0,4.0,970.0,45.0,2.0,,,,,
LOCAL-011106,Pampilhosa,22,46,952.0,,115.0,128.0,60.0,2.0,23.0,8.0,13.0,100.0,0.0,2.0,4.0,8.0,4.0,432.0,24.0,1.0,,,,,
LOCAL-011107,Vacariça,5,9,451.0,,50.0,40.0,27.0,3.0,9.0,4.0,1.0,22.0,1.0,0.0,1.0,2.0,1.0,218.0,6.0,2.0,,,,,
LOCAL-011201,Bunheiro,5,14,328.0,,76.0,25.0,27.0,2.0,14.0,6.0,4.0,12.0,1.0,2.0,2.0,7.0,1.0,590.0,39.0,2.0,,,,,
LOCAL-011202,Monte,4,15,230.0,,38.0,23.0,19.0,2.0,6.0,4.0,2.0,10.0,0.0,1.0,0.0,2.0,1.0,286.0,3.0,0.0,,,,,
LOCAL-011203,Murtosa,7,22,367.0,,75.0,55.0,31.0,3.0,9.0,3.0,11.0,20.0,0.0,2.0,1.0,7.0,1.0,632.0,21.0,1.0,,,,,
LOCAL-011204,Torreira,13,14,433.0,,87.0,44.0,60.0,3.0,14.0,9.0,3.0,17.0,0.0,0.0,1.0,4.0,1.0,455.0,48.0,0.0,,,,,
LOCAL-011301,Carregosa,28,20,791.0,,104.0,91.0,73.0,3.0,15.0,21.0,7.0,15.0,1.0,0.0,5.0,13.0,5.0,736.0,40.0,1.0,,,,,
LOCAL-011302,Cesar,21,22,694.0,,87.0,74.0,61.0,6.0,17.0,13.0,14.0,31.0,2.0,7.0,4.0,8.0,2.0,627.0,20.0,2.0,,,,,
LOCAL-011303,Fajões,19,17,617.0,,92.0,63.0,47.0,1.0,18.0,15.0,10.0,17.0,2.0,2.0,3.0,4.0,2.0,614.0,33.0,2.0,,,,,
LOCAL-011304,Loureiro,17,21,688.0,,127.0,56.0,68.0,4.0,18.0,9.0,9.0,14.0,0.0,0.0,1.0,6.0,2.0,790.0,28.0,2.0,,,,,
LOCAL-011305,Macieira de Sarnes,16,11,539.0,,43.0,52.0,33.0,1.0,19.0,7.0,9.0,29.0,0.0,0.0,2.0,6.0,1.0,304.0,13.0,1.0,,,,,
LOCAL-011320,Nogueira do Cravo e Pindelo,36,29,1352.0,,126.0,134.0,121.0,7.0,20.0,13.0,16.0,46.0,2.0,5.0,4.0,18.0,3.0,904.0,51.0,1.0,,,,,
LOCAL-011321,"O. Azeméis, Riba-Ul, Ul, Macinhata Seixa, Madail",91,113,4524.0,,422.0,512.0,479.0,23.0,156.0,45.0,80.0,139.0,8.0,12.0,19.0,39.0,14.0,3594.0,195.0,7.0,,,,,
LOCAL-011310,Ossela,9,16,493.0,,44.0,37.0,19.0,1.0,9.0,9.0,4.0,9.0,1.0,3.0,1.0,2.0,1.0,405.0,34.0,1.0,,,,,
LOCAL-011322,"Pinheiro da Bemposta, Travanca e Palmaz",44,34,1432.0,,182.0,115.0,102.0,5.0,26.0,15.0,25.0,28.0,2.0,3.0,3.0,17.0,5.0,1163.0,106.0,4.0,,,,,
LOCAL-011315,São Martinho da Gândara,11,13,489.0,,44.0,33.0,27.0,0.0,10.0,8.0,4.0,10.0,1.0,0.0,1.0,2.0,2.0,353.0,12.0,2.0,,,,,
LOCAL-011318,São Roque,28,38,1332.0,,120.0,125.0,105.0,0.0,27.0,11.0,17.0,30.0,1.0,4.0,3.0,8.0,5.0,953.0,39.0,2.0,,,,,
LOCAL-011319,Vila de Cucujães,66,65,2835.0,,183.0,248.0,197.0,6.0,51.0,33.0,13.0,81.0,1.0,4.0,7.0,19.0,9.0,1427.0,86.0,2.0,,,,,
LOCAL-011407,"Bustos, Troviscal e Mamarrosa",36,41,672.0,,256.0,59.0,139.0,8.0,19.0,9.0,5.0,27.0,3.0,4.0,4.0,15.0,8.0,1500.0,294.0,1.0,,,,,
LOCAL-011403,Oiã,29,45,968.0,,396.0,121.0,193.0,3.0,42.0,11.0,17.0,44.0,2.0,8.0,3.0,9.0,7.0,1669.0,169.0,3.0,,,,,
LOCAL-011404,Oliveira do Bairro,35,45,858.0,,248.0,129.0,151.0,3.0,21.0,13.0,19.0,32.0,2.0,3.0,5.0,13.0,6.0,1214.0,161.0,1.0,,,,,
LOCAL-011405,Palhaça,14,31,308.0,,139.0,31.0,61.0,1.0,6.0,8.0,2.0,7.0,1.0,2.0,3.0,6.0,2.0,724.0,68.0,1.0,,,,,
LOCAL-011502,Cortegaça,17,21,954.0,,72.0,111.0,97.0,7.0,35.0,8.0,12.0,30.0,0.0,3.0,2.0,7.0,2.0,706.0,24.0,0.0,,,,,
LOCAL-011503,Esmoriz,62,65,2726.0,,267.0,368.0,319.0,13.0,88.0,22.0,57.0,110.0,7.0,10.0,11.0,20.0,3.0,2513.0,96.0,4.0,,,,,
LOCAL-011504,Maceda,21,17,879.0,,63.0,68.0,57.0,4.0,13.0,6.0,9.0,48.0,3.0,0.0,5.0,9.0,1.0,573.0,16.0,0.0,,,,,
LOCAL-011509,"Ovar, S.João, Arada e S.Vicente de Pereira Jusã",162,248,6421.0,,676.0,984.0,666.0,28.0,255.0,72.0,153.0,535.0,9.0,13.0,21.0,66.0,9.0,4798.0,201.0,7.0,,,,,
LOCAL-011507,Válega,26,41,1425.0,,150.0,142.0,90.0,4.0,39.0,11.0,20.0,55.0,2.0,2.0,4.0,17.0,2.0,986.0,36.0,1.0,,,,,
LOCAL-010901,Argoncilhe,49,46,1738.0,,177.0,206.0,280.0,12.0,55.0,18.0,32.0,66.0,2.0,4.0,3.0,21.0,4.0,1720.0,94.0,5.0,,,,,
LOCAL-010902,Arrifana,34,42,1549.0,,120.0,165.0,129.0,6.0,32.0,18.0,26.0,47.0,4.0,7.0,6.0,15.0,6.0,945.0,59.0,0.0,,,,,
LOCAL-010932,Caldas de São Jorge e Pigeiros,19,22,1008.0,,93.0,108.0,68.0,5.0,30.0,9.0,17.0,52.0,2.0,2.0,2.0,10.0,1.0,644.0,35.0,0.0,,,,,
