,territoryName,null_votes,blank_votes,PS,PPD/PSD.CDS-PP.PPM,CH,B.E.,IL,ADN,PAN,R.I.R.,L,PCP-PEV,E,MAS,MPT,PCTP/MRPP,VP,PPD/PSD,CDS-PP,JPP,PTP,A,NC,PPD/PSD.CDS-PP,PPM
LOCAL-160908,Carreço,6,11,407.0,,67.0,77.0,32.0,,11.0,3.0,14.0,56.0,0.0,0.0,0.0,,1.0,342.0,16.0,,,1.0,,,
LOCAL-160910,Castelo do Neiva,7,18,500.0,,103.0,64.0,48.0,,22.0,8.0,9.0,26.0,2.0,3.0,4.0,,1.0,467.0,33.0,,,0.0,,,
LOCAL-160940,Chafé,17,27,628.0,,144.0,75.0,67.0,,32.0,10.0,9.0,55.0,1.0,1.0,1.0,,1.0,450.0,25.0,,,1.0,,,
LOCAL-160911,Darque,36,48,1578.0,,279.0,160.0,98.0,,49.0,14.0,33.0,343.0,4.0,4.0,7.0,,2.0,914.0,57.0,,,9.0,,,
LOCAL-160914,Freixieiro de Soutelo,0,5,98.0,,40.0,20.0,11.0,,0.0,6.0,2.0,4.0,1.0,1.0,0.0,,1.0,77.0,6.0,,,0.0,,,
LOCAL-160943,Geraz do Lima e Deão,17,24,755.0,,143.0,28.0,67.0,,12.0,9.0,7.0,14.0,0.0,4.0,1.0,,4.0,686.0,57.0,,,4.0,,,
LOCAL-160915,Lanheses,11,12,370.0,,54.0,28.0,22.0,,8.0,10.0,2.0,10.0,2.0,1.0,0.0,,0.0,359.0,24.0,,,1.0,,,
LOCAL-160944,Mazarefes e Vila Fria,12,15,726.0,,93.0,72.0,29.0,,18.0,11.0,7.0,56.0,1.0,3.0,4.0,,1.0,423.0,33.0,,,2.0,,,
LOCAL-160920,Montaria,2,4,145.0,,27.0,10.0,5.0,,0.0,3.0,2.0,5.0,0.0,1.0,0.0,,0.0,88.0,4.0,,,0.0,,,
LOCAL-160922,Mujães,5,11,340.0,,55.0,28.0,28.0,,4.0,3.0,0.0,14.0,1.0,0.0,1.0,,1.0,277.0,37.0,,,2.0,,,
LOCAL-160945,"Nogueira, Meixedo e Vilar de Murteda",4,14,368.0,,50.0,19.0,25.0,,8.0,3.0,5.0,21.0,2.0,4.0,1.0,,0.0,302.0,19.0,,,1.0,,,
LOCAL-160925,Outeiro,7,12,293.0,,30.0,24.0,23.0,,5.0,5.0,7.0,14.0,0.0,0.0,3.0,,1.0,206.0,15.0,,,0.0,,,
LOCAL-160926,Perre,17,39,747.0,,89.0,85.0,51.0,,20.0,10.0,15.0,98.0,3.0,2.0,2.0,,3.0,445.0,41.0,,,2.0,,,
LOCAL-160948,Santa Maria Maior e Monserrate e Meadela,110,160,5779.0,,686.0,932.0,563.0,,192.0,44.0,195.0,981.0,13.0,13.0,12.0,,11.0,3951.0,200.0,,,29.0,,,
LOCAL-160928,Santa Marta de Portuzelo,19,45,1055.0,,133.0,82.0,66.0,,24.0,9.0,12.0,73.0,2.0,5.0,5.0,,6.0,675.0,29.0,,,3.0,,,
LOCAL-160923,São Romão de Neiva,3,11,295.0,,42.0,30.0,23.0,,12.0,4.0,4.0,13.0,0.0,0.0,0.0,,1.0,199.0,22.0,,,0.0,,,
LOCAL-160946,"Subportela, Deocriste e Portela Susã",18,17,572.0,,96.0,42.0,44.0,,10.0,7.0,5.0,12.0,3.0,5.0,1.0,,2.0,526.0,24.0,,,6.0,,,
LOCAL-160947,Torre e Vila Mou,6,12,240.0,,50.0,16.0,32.0,,6.0,4.0,8.0,8.0,2.0,1.0,1.0,,2.0,252.0,27.0,,,2.0,,,
LOCAL-160938,Vila de Punhe,14,16,546.0,,66.0,33.0,47.0,,12.0,4.0,9.0,32.0,1.0,1.0,4.0,,1.0,394.0,23.0,,,0.0,,,
LOCAL-160935,Vila Franca,11,12,417.0,,43.0,31.0,24.0,,10.0,10.0,8.0,29.0,0.0,0.0,0.0,,2.0,376.0,12.0,,,0.0,,,
LOCAL-161016,Campos e Vila Meã,7,12,344.0,,84.0,28.0,11.0,,5.0,2.0,6.0,11.0,0.0,2.0,4.0,,2.0,236.0,11.0,,,1.0,,,
LOCAL-161017,Candemil e Gondar,0,1,98.0,,10.0,11.0,5.0,,3.0,1.0,0.0,3.0,0.0,0.0,0.0,,0.0,59.0,4.0,,,1.0,,,
LOCAL-161003,Cornes,4,3,131.0,,28.0,5.0,7.0,,1.0,2.0,1.0,7.0,0.0,1.0,0.0,,0.0,62.0,5.0,,,0.0,,,
LOCAL-161004,Covas,5,3,133.0,,26.0,7.0,9.0,,5.0,2.0,1.0,7.0,0.0,0.0,0.0,,0.0,88.0,7.0,,,0.0,,,
LOCAL-161006,Gondarém,4,3,294.0,,34.0,18.0,11.0,,6.0,2.0,1.0,9.0,2.0,1.0,1.0,,1.0,145.0,14.0,,,1.0,,,
LOCAL-161007,Loivo,3,4,238.0,,33.0,13.0,11.0,,7.0,0.0,2.0,9.0,1.0,0.0,2.0,,0.0,115.0,8.0,,,0.0,,,
LOCAL-161009,Mentrestido,3,2,65.0,,6.0,1.0,2.0,,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,0.0,52.0,3.0,,,0.0,,,
LOCAL-161018,Reboreda e Nogueira,4,6,275.0,,45.0,21.0,21.0,,5.0,7.0,2.0,8.0,1.0,0.0,0.0,,0.0,192.0,7.0,,,0.0,,,
LOCAL-161012,Sapardos,2,3,95.0,,22.0,5.0,6.0,,2.0,1.0,1.0,1.0,0.0,0.0,0.0,,1.0,86.0,3.0,,,0.0,,,
LOCAL-161013,Sopo,2,2,133.0,,18.0,6.0,4.0,,1.0,1.0,0.0,3.0,0.0,0.0,0.0,,0.0,86.0,2.0,,,0.0,,,
LOCAL-161019,Vila Nova de Cerveira e Lovelhe,11,13,464.0,,77.0,41.0,29.0,,13.0,2.0,11.0,19.0,1.0,0.0,0.0,,0.0,311.0,18.0,,,1.0,,,
LOCAL-170101,Alijó,13,12,536.0,,104.0,33.0,39.0,,10.0,4.0,7.0,31.0,2.0,2.0,0.0,,1.0,480.0,24.0,,,,2.0,,
LOCAL-170120,Carlão e Amieiro,7,8,160.0,,16.0,8.0,7.0,,3.0,2.0,1.0,11.0,0.0,1.0,0.0,,0.0,141.0,9.0,,,,1.0,,
LOCAL-170121,Castedo e Cotas,7,2,114.0,,34.0,6.0,5.0,,6.0,0.0,1.0,4.0,0.0,0.0,0.0,,0.0,128.0,9.0,,,,0.0,,
LOCAL-170107,Favaios,6,4,278.0,,31.0,9.0,11.0,,4.0,3.0,2.0,5.0,2.0,1.0,0.0,,0.0,180.0,11.0,,,,0.0,,
LOCAL-170108,Pegarinhos,3,1,90.0,,10.0,3.0,1.0,,2.0,0.0,1.0,6.0,0.0,1.0,1.0,,0.0,80.0,8.0,,,,1.0,,
LOCAL-170109,Pinhão,5,5,169.0,,20.0,13.0,4.0,,3.0,2.0,3.0,23.0,0.0,0.0,0.0,,0.0,104.0,3.0,,,,0.0,,
LOCAL-170122,Pópulo e Ribalonga,6,3,109.0,,11.0,3.0,6.0,,0.0,5.0,0.0,0.0,0.0,1.0,0.0,,0.0,96.0,5.0,,,,1.0,,
LOCAL-170112,Sanfins do Douro,7,3,346.0,,78.0,20.0,12.0,,2.0,3.0,4.0,4.0,0.0,1.0,0.0,,2.0,280.0,17.0,,,,4.0,,
LOCAL-170113,Santa Eugénia,2,1,83.0,,10.0,1.0,2.0,,0.0,0.0,5.0,1.0,1.0,0.0,1.0,,0.0,84.0,4.0,,,,0.0,,
LOCAL-170114,São Mamede de Ribatua,1,4,181.0,,13.0,5.0,7.0,,5.0,2.0,3.0,13.0,0.0,2.0,0.0,,1.0,124.0,11.0,,,,0.0,,
LOCAL-170123,"Vale de Mendiz, Casal de Loivos e Vilarinho",3,5,164.0,,31.0,2.0,10.0,,1.0,2.0,1.0,7.0,0.0,1.0,0.0,,0.0,73.0,2.0,,,,0.0,,
LOCAL-170116,Vila Chã,6,2,86.0,,18.0,4.0,7.0,,2.0,4.0,1.0,2.0,0.0,1.0,0.0,,0.0,97.0,4.0,,,,0.0,,
LOCAL-170118,Vilar de Maçada,3,0,193.0,,44.0,6.0,3.0,,4.0,3.0,3.0,3.0,0.0,0.0,0.0,,0.0,201.0,6.0,,,,1.0,,
LOCAL-170117,Vila Verde,8,5,99.0,,22.0,3.0,4.0,,2.0,0.0,0.0,1.0,0.0,3.0,0.0,,0.0,127.0,7.0,,,,0.0,,
LOCAL-170217,Alturas do Barroso e Cerdedo,3,2,78.0,,6.0,2.0,0.0,,0.0,2.0,0.0,1.0,2.0,1.0,0.0,,0.0,162.0,2.0,,,,1.0,,
LOCAL-170218,Ardãos e Bobadela,6,8,84.0,,21.0,2.0,2.0,,1.0,0.0,1.0,2.0,1.0,3.0,0.0,,1.0,179.0,1.0,,,,1.0,,
LOCAL-170203,Beça,5,7,158.0,,21.0,4.0,7.0,,0.0,0.0,2.0,3.0,0.0,0.0,0.0,,0.0,384.0,4.0,,,,1.0,,
LOCAL-170219,Boticas e Granja,10,9,284.0,,47.0,5.0,6.0,,3.0,3.0,2.0,7.0,0.0,3.0,1.0,,1.0,470.0,5.0,,,,0.0,,
LOCAL-170220,"Codessoso, Curros e Fiães do Tâmega",3,0,38.0,,4.0,1.0,0.0,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,,0.0,155.0,0.0,,,,0.0,,
LOCAL-170208,Covas do Barroso,4,2,30.0,,3.0,3.0,1.0,,0.0,0.0,0.0,17.0,0.0,2.0,1.0,,0.0,83.0,2.0,,,,0.0,,
LOCAL-170210,Dornelas,2,2,73.0,,7.0,0.0,0.0,,0.0,2.0,1.0,17.0,0.0,2.0,0.0,,0.0,50.0,0.0,,,,1.0,,
LOCAL-170213,Pinho,3,0,66.0,,16.0,1.0,1.0,,1.0,0.0,2.0,2.0,0.0,2.0,0.0,,0.0,118.0,5.0,,,,0.0,,
LOCAL-170215,Sapiãos,3,0,79.0,,16.0,6.0,3.0,,2.0,2.0,0.0,2.0,0.0,0.0,1.0,,0.0,157.0,5.0,,,,0.0,,
LOCAL-170221,Vilar e Viveiro,4,2,81.0,,7.0,1.0,2.0,,1.0,1.0,1.0,7.0,0.0,1.0,0.0,,0.0,179.0,0.0,,,,1.0,,
LOCAL-170301,Águas Frias,2,10,158.0,,30.0,2.0,3.0,,1.0,0.0,1.0,4.0,0.0,0.0,0.0,,0.0,128.0,4.0,,,,0.0,,
LOCAL-170302,Anelhe,5,1,82.0,,15.0,7.0,1.0,,3.0,0.0,1.0,3.0,0.0,0.0,0.0,,0.0,105.0,3.0,,,,0.0,,
LOCAL-170305,Bustelo,2,7,94.0,,24.0,4.0,2.0,,1.0,0.0,0.0,5.0,0.0,0.0,0.0,,0.0,109.0,2.0,,,,1.0,,
LOCAL-170356,Calvão e Soutelinho da Raia,2,2,114.0,,25.0,6.0,0.0,,2.0,2.0,0.0,5.0,3.0,0.0,2.0,,1.0,89.0,5.0,,,,0.0,,
LOCAL-170309,Cimo de Vila da Castanheira,2,1,106.0,,10.0,2.0,4.0,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,58.0,3.0,,,,0.0,,
LOCAL-170310,Curalha,1,3,108.0,,25.0,3.0,2.0,,3.0,0.0,0.0,15.0,0.0,0.0,0.0,,0.0,78.0,4.0,,,,0.0,,
LOCAL-170355,"Eiras, São Julião de Montenegro e Cela",6,5,194.0,,56.0,7.0,6.0,,2.0,2.0,2.0,3.0,0.0,0.0,1.0,,0.0,210.0,6.0,,,,0.0,,
LOCAL-170312,Ervededo,4,2,168.0,,25.0,7.0,3.0,,2.0,1.0,0.0,6.0,0.0,0.0,0.0,,0.0,132.0,5.0,,,,1.0,,
LOCAL-170313,Faiões,7,8,201.0,,48.0,11.0,2.0,,1.0,3.0,2.0,6.0,1.0,0.0,0.0,,0.0,124.0,4.0,,,,1.0,,
LOCAL-170314,Lama de Arcos,5,0,77.0,,14.0,2.0,1.0,,0.0,4.0,0.0,4.0,0.0,0.0,0.0,,0.0,92.0,3.0,,,,0.0,,
LOCAL-170357,Loivos e Póvoa de Agrações,7,4,165.0,,33.0,3.0,4.0,,3.0,3.0,0.0,3.0,0.0,2.0,0.0,,1.0,115.0,8.0,,,,1.0,,
LOCAL-170354,Madalena e Samaiões,14,16,547.0,,130.0,36.0,26.0,,11.0,3.0,4.0,26.0,0.0,3.0,1.0,,1.0,496.0,19.0,,,,1.0,,
LOCAL-170316,Mairos,1,1,68.0,,9.0,4.0,2.0,,1.0,0.0,1.0,5.0,0.0,1.0,0.0,,0.0,58.0,3.0,,,,0.0,,
LOCAL-170317,Moreiras,0,2,38.0,,6.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,59.0,3.0,,,,0.0,,
LOCAL-170318,Nogueira da Montanha,3,0,84.0,,11.0,5.0,1.0,,1.0,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,147.0,7.0,,,,1.0,,
LOCAL-170320,Oura,3,3,98.0,,28.0,1.0,1.0,,1.0,1.0,4.0,2.0,0.0,0.0,1.0,,0.0,103.0,5.0,,,,0.0,,
LOCAL-170321,Outeiro Seco,6,3,237.0,,50.0,16.0,10.0,,8.0,1.0,2.0,14.0,0.0,1.0,0.0,,0.0,147.0,3.0,,,,0.0,,
LOCAL-170322,Paradela,0,0,42.0,,15.0,3.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,64.0,2.0,,,,0.0,,
LOCAL-170353,Planalto de Monforte (Oucidres e Bobadela),0,0,59.0,,14.0,1.0,0.0,,0.0,2.0,0.0,1.0,1.0,2.0,0.0,,0.0,62.0,4.0,,,,1.0,,
LOCAL-170324,Redondelo,3,1,140.0,,21.0,2.0,0.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,,0.0,71.0,3.0,,,,0.0,,
LOCAL-170327,Sanfins,2,1,31.0,,13.0,3.0,1.0,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,,1.0,54.0,5.0,,,,2.0,,
LOCAL-170358,Santa Cruz/Trindade e Sanjurge,19,19,675.0,,164.0,35.0,38.0,,27.0,6.0,9.0,31.0,1.0,0.0,0.0,,0.0,651.0,27.0,,,,3.0,,
LOCAL-170329,Santa Leocádia,2,0,64.0,,5.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,60.0,1.0,,,,1.0,,
LOCAL-170350,Santa Maria Maior,40,45,2166.0,,456.0,176.0,127.0,,40.0,12.0,56.0,140.0,3.0,7.0,5.0,,4.0,2025.0,63.0,,,,2.0,,
LOCAL-170330,Santo António de Monforte,1,2,118.0,,22.0,8.0,5.0,,0.0,1.0,2.0,1.0,0.0,2.0,0.0,,0.0,88.0,4.0,,,,0.0,,
LOCAL-170331,Santo Estêvão,6,2,110.0,,25.0,0.0,3.0,,1.0,0.0,0.0,3.0,1.0,0.0,0.0,,0.0,88.0,5.0,,,,0.0,,
LOCAL-170333,São Pedro de Agostém,12,8,305.0,,61.0,17.0,10.0,,3.0,4.0,5.0,6.0,0.0,2.0,0.0,,0.0,213.0,12.0,,,,0.0,,
LOCAL-170334,São Vicente,1,0,44.0,,5.0,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,1.0,,0.0,47.0,10.0,,,,0.0,,
LOCAL-170359,Soutelo e Seara Velha,4,3,104.0,,13.0,10.0,5.0,,0.0,1.0,3.0,4.0,0.0,1.0,0.0,,0.0,166.0,3.0,,,,0.0,,
LOCAL-170360,Travancas e Roriz,5,1,140.0,,11.0,2.0,0.0,,1.0,0.0,3.0,4.0,0.0,0.0,0.0,,0.0,67.0,5.0,,,,0.0,,
LOCAL-170340,Tronco,2,4,48.0,,9.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,40.0,1.0,,,,0.0,,
LOCAL-170341,Vale de Anta,15,6,316.0,,85.0,24.0,16.0,,7.0,2.0,7.0,22.0,0.0,2.0,0.0,,1.0,331.0,15.0,,,,0.0,,
LOCAL-170361,"Vidago, Arcossó, Selhariz, Vilarinho Paranheiras",8,12,401.0,,51.0,27.0,10.0,,10.0,4.0,5.0,10.0,2.0,1.0,0.0,,1.0,378.0,11.0,,,,2.0,,
LOCAL-170344,Vilar de Nantes,7,11,423.0,,102.0,23.0,18.0,,8.0,2.0,8.0,18.0,0.0,5.0,0.0,,2.0,368.0,12.0,,,,1.0,,
LOCAL-170345,Vilarelho da Raia,2,1,101.0,,32.0,2.0,4.0,,4.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,95.0,6.0,,,,0.0,,
LOCAL-170347,Vilas Boas,0,0,25.0,,7.0,0.0,1.0,,1.0,1.0,1.0,3.0,0.0,0.0,0.0,,0.0,48.0,3.0,,,,0.0,,
LOCAL-170343,Vila Verde da Raia,4,5,149.0,,45.0,10.0,4.0,,4.0,0.0,1.0,7.0,0.0,1.0,0.0,,0.0,192.0,4.0,,,,0.0,,
LOCAL-170349,Vilela do Tâmega,3,0,84.0,,31.0,2.0,3.0,,1.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,74.0,6.0,,,,0.0,,
LOCAL-170348,Vilela Seca,2,1,70.0,,10.0,3.0,1.0,,0.0,1.0,0.0,2.0,0.0,0.0,0.0,,0.0,48.0,1.0,,,,0.0,,
LOCAL-170401,Barqueiros,3,1,194.0,,15.0,4.0,2.0,,5.0,0.0,0.0,4.0,0.0,1.0,0.0,,0.0,62.0,0.0,,,,1.0,,
LOCAL-170402,Cidadelhe,2,0,54.0,,7.0,3.0,1.0,,1.0,3.0,0.0,3.0,0.0,1.0,0.0,,2.0,17.0,2.0,,,,1.0,,
LOCAL-170408,Mesão Frio (Santo André),7,6,449.0,,46.0,28.0,16.0,,12.0,4.0,6.0,3.0,1.0,2.0,0.0,,0.0,285.0,18.0,,,,0.0,,
LOCAL-170403,Oliveira,6,0,76.0,,2.0,3.0,6.0,,0.0,0.0,0.0,3.0,0.0,1.0,0.0,,0.0,72.0,4.0,,,,1.0,,
LOCAL-170407,Vila Marim,2,4,252.0,,26.0,9.0,6.0,,4.0,3.0,2.0,7.0,0.0,2.0,1.0,,0.0,139.0,9.0,,,,0.0,,
LOCAL-170501,Atei,5,0,252.0,,35.0,18.0,7.0,,3.0,3.0,1.0,7.0,1.0,5.0,0.0,,0.0,205.0,8.0,,,,0.0,,
LOCAL-170502,Bilhó,4,1,87.0,,12.0,4.0,6.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,134.0,14.0,,,,0.0,,
LOCAL-170509,Campanhó e Paradança,3,1,130.0,,29.0,2.0,3.0,,3.0,3.0,3.0,6.0,0.0,1.0,0.0,,0.0,194.0,19.0,,,,1.0,,
LOCAL-170510,Ermelo e Pardelhas,5,0,86.0,,21.0,2.0,4.0,,1.0,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,113.0,10.0,,,,0.0,,
LOCAL-170505,São Cristóvão de Mondim de Basto,9,12,639.0,,73.0,44.0,42.0,,19.0,4.0,4.0,37.0,0.0,5.0,4.0,,1.0,679.0,45.0,,,,2.0,,
LOCAL-170508,Vilar de Ferreiros,2,0,227.0,,29.0,8.0,14.0,,1.0,0.0,1.0,10.0,0.0,2.0,0.0,,0.0,297.0,17.0,,,,2.0,,
LOCAL-170601,Cabril,2,4,150.0,,13.0,7.0,11.0,,1.0,1.0,1.0,4.0,0.0,0.0,0.0,,0.0,80.0,0.0,,,,0.0,,
LOCAL-170636,"Cambeses do Rio, Donões e Mourilhe",1,0,70.0,,16.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,68.0,1.0,,,,0.0,,
LOCAL-170603,Cervos,1,1,48.0,,13.0,1.0,1.0,,1.0,3.0,0.0,1.0,1.0,0.0,0.0,,0.0,82.0,0.0,,,,0.0,,
LOCAL-170604,Chã,3,0,151.0,,23.0,4.0,2.0,,2.0,2.0,2.0,1.0,0.0,2.0,0.0,,0.0,146.0,2.0,,,,1.0,,
LOCAL-170607,Covelo do Gerês,0,0,44.0,,4.0,2.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,1.0,42.0,0.0,,,,0.0,,
LOCAL-170609,Ferral,0,0,105.0,,7.0,5.0,2.0,,2.0,1.0,0.0,2.0,0.0,0.0,0.0,,1.0,55.0,2.0,,,,0.0,,
LOCAL-170612,Gralhas,3,1,68.0,,5.0,1.0,0.0,,0.0,0.0,0.0,3.0,0.0,1.0,2.0,,1.0,36.0,3.0,,,,0.0,,
LOCAL-170637,Meixedo e Padornelos,0,1,76.0,,10.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,56.0,3.0,,,,0.0,,
LOCAL-170638,Montalegre e Padroso,10,8,417.0,,43.0,30.0,13.0,,5.0,0.0,8.0,11.0,0.0,0.0,2.0,,2.0,475.0,24.0,,,,2.0,,
LOCAL-170616,Morgade,0,1,55.0,,2.0,2.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,65.0,1.0,,,,0.0,,
LOCAL-170618,Negrões,0,0,71.0,,2.0,0.0,3.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,14.0,0.0,,,,0.0,,
LOCAL-170619,Outeiro,0,2,31.0,,6.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,35.0,0.0,,,,0.0,,
LOCAL-170639,"Paradela, Contim e Fiães",0,0,84.0,,20.0,9.0,0.0,,0.0,0.0,11.0,0.0,0.0,6.0,0.0,,0.0,73.0,2.0,,,,0.0,,
LOCAL-170623,Pitões das Junias,0,0,65.0,,2.0,0.0,1.0,,0.0,1.0,0.0,2.0,0.0,0.0,0.0,,0.0,42.0,0.0,,,,0.0,,
LOCAL-170625,Reigoso,0,1,33.0,,3.0,1.0,2.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,34.0,1.0,,,,0.0,,
LOCAL-170626,Salto,9,4,379.0,,40.0,18.0,5.0,,5.0,1.0,1.0,10.0,0.0,0.0,0.0,,1.0,296.0,9.0,,,,1.0,,
LOCAL-170627,Santo André,1,3,62.0,,3.0,1.0,0.0,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,40.0,0.0,,,,0.0,,
LOCAL-170629,Sarraquinhos,0,1,42.0,,7.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,75.0,5.0,,,,0.0,,
LOCAL-170640,Sezelhe e Covelães,0,5,93.0,,3.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,63.0,0.0,,,,0.0,,
LOCAL-170631,Solveira,0,3,36.0,,6.0,0.0,1.0,,2.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,37.0,1.0,,,,0.0,,
LOCAL-170632,Tourém,1,0,56.0,,4.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,33.0,1.0,,,,0.0,,
LOCAL-170641,Venda Nova e Pondras,4,0,101.0,,10.0,3.0,2.0,,2.0,1.0,1.0,3.0,0.0,1.0,0.0,,0.0,89.0,2.0,,,,1.0,,
LOCAL-170642,Viade de Baixo e Fervidelas,2,7,207.0,,25.0,6.0,2.0,,2.0,1.0,1.0,2.0,2.0,0.0,0.0,,0.0,153.0,2.0,,,,1.0,,
LOCAL-170635,Vila da Ponte,3,0,62.0,,3.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,51.0,1.0,,,,0.0,,
LOCAL-170643,Vilar de Perdizes e Meixide,6,5,123.0,,12.0,2.0,1.0,,1.0,0.0,1.0,2.0,0.0,1.0,0.0,,0.0,118.0,3.0,,,,2.0,,
LOCAL-170701,Candedo,4,6,232.0,,40.0,4.0,4.0,,3.0,4.0,1.0,13.0,0.0,0.0,0.0,,1.0,196.0,15.0,,,,1.0,,
LOCAL-170710,Carva e Vilares,2,4,105.0,,16.0,6.0,1.0,,3.0,2.0,0.0,1.0,0.0,0.0,1.0,,1.0,82.0,3.0,,,,1.0,,
LOCAL-170703,Fiolhoso,3,1,81.0,,15.0,1.0,0.0,,1.0,2.0,1.0,0.0,0.0,3.0,0.0,,0.0,103.0,4.0,,,,0.0,,
LOCAL-170704,Jou,5,3,128.0,,23.0,5.0,1.0,,0.0,0.0,0.0,6.0,1.0,1.0,0.0,,0.0,110.0,9.0,,,,0.0,,
LOCAL-170705,Murça,8,5,351.0,,90.0,18.0,14.0,,11.0,5.0,5.0,10.0,0.0,1.0,2.0,,0.0,475.0,25.0,,,,3.0,,
LOCAL-170711,Noura e Palheiros,7,4,162.0,,42.0,7.0,1.0,,4.0,0.0,1.0,6.0,0.0,1.0,0.0,,1.0,194.0,19.0,,,,1.0,,
LOCAL-170708,Valongo de Milhais,3,0,55.0,,13.0,0.0,1.0,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,86.0,5.0,,,,0.0,,
LOCAL-170802,Fontelas,3,4,166.0,,18.0,15.0,8.0,,2.0,0.0,0.0,9.0,0.0,0.0,0.0,,0.0,123.0,4.0,,,,0.0,,
LOCAL-170813,Galafura e Covelinhas,6,3,148.0,,38.0,6.0,6.0,,2.0,0.0,1.0,7.0,0.0,2.0,0.0,,1.0,164.0,9.0,,,,0.0,,
LOCAL-170805,Loureiro,2,1,254.0,,18.0,13.0,2.0,,2.0,0.0,2.0,9.0,0.0,1.0,0.0,,0.0,146.0,7.0,,,,3.0,,
LOCAL-170814,Moura Morta e Vinhós,5,0,143.0,,15.0,7.0,5.0,,0.0,1.0,1.0,9.0,0.0,1.0,1.0,,0.0,131.0,6.0,,,,0.0,,
LOCAL-170815,Peso da Régua e Godim,36,38,2129.0,,307.0,148.0,107.0,,34.0,7.0,27.0,135.0,4.0,4.0,1.0,,2.0,1585.0,62.0,,,,5.0,,
LOCAL-170816,Poiares e Canelas,7,2,300.0,,49.0,9.0,5.0,,6.0,1.0,0.0,13.0,0.0,1.0,0.0,,1.0,213.0,7.0,,,,0.0,,
LOCAL-170809,Sedielos,4,4,206.0,,24.0,4.0,3.0,,1.0,1.0,1.0,5.0,0.0,2.0,0.0,,1.0,140.0,4.0,,,,1.0,,
LOCAL-170810,Vilarinho dos Freires,4,2,221.0,,27.0,10.0,9.0,,3.0,1.0,1.0,17.0,0.0,0.0,0.0,,0.0,119.0,3.0,,,,0.0,,
LOCAL-170901,Alvadia,0,2,41.0,,7.0,1.0,3.0,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,0.0,65.0,5.0,,,,1.0,,
LOCAL-170902,Canedo,0,0,83.0,,8.0,0.0,0.0,,1.0,3.0,1.0,1.0,0.0,0.0,0.0,,0.0,82.0,2.0,,,,0.0,,
LOCAL-170908,Cerva e Limões,8,8,595.0,,47.0,23.0,13.0,,3.0,7.0,6.0,15.0,1.0,5.0,1.0,,0.0,524.0,23.0,,,,6.0,,
LOCAL-170909,Salvador e Santo Aleixo de Além-Tâmega,10,1,694.0,,64.0,23.0,11.0,,4.0,9.0,5.0,8.0,2.0,1.0,0.0,,0.0,653.0,14.0,,,,1.0,,
LOCAL-170906,Santa Marinha,4,2,211.0,,13.0,3.0,3.0,,1.0,0.0,1.0,1.0,1.0,2.0,0.0,,0.0,88.0,3.0,,,,0.0,,
LOCAL-171001,Celeirós,3,5,56.0,,11.0,5.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,44.0,2.0,,,,0.0,,
LOCAL-171002,Covas do Douro,2,3,104.0,,9.0,9.0,5.0,,0.0,5.0,0.0,7.0,0.0,0.0,0.0,,0.0,82.0,4.0,,,,2.0,,
